target,iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration
DQ60_9,4,0.0413,0.828911045183542,0.7330091115759079,0.0959019336076341,643
DQ30_9,5,0.0514,0.8160421640339968,0.7328723852242853,0.0831697788097114,587
DQ30_7,6,0.0615,0.828506596814874,0.7322914091677228,0.0962151876471512,535
DQ60_12,11,0.1119,0.8252079020411549,0.732204981001163,0.0930029210399918,287
Default_11,4,0.0413,0.8340124116540228,0.7317140667674322,0.1022983448865906,572
DQ30_6,2,0.0212,0.8089603218409017,0.7316684335162735,0.0772918883246281,985
DQ60_11,4,0.0413,0.8129383835895384,0.7311632993959738,0.0817750841935646,554
DQ30_8,5,0.0514,0.8170605025464976,0.7309448867606964,0.0861156157858012,570
Default_10,8,0.0816,0.8340974873701007,0.7308806236441036,0.1032168637259971,242
DQ90_4,30,0.3034,0.8284806080201307,0.7305557078302347,0.0979249001898959,33
DQ15_15,4,0.0413,0.8039166868377807,0.730396486445555,0.0735202003922257,922
DQ1_11,3,0.0312,0.788650790366715,0.730386628803974,0.058264161562741,816
DQ30_5,7,0.0716,0.8374533615309934,0.7303721208805902,0.1070812406504031,405
DQ60_8,6,0.0615,0.8548084154722546,0.7302984524585769,0.1245099630136776,579
Default_12,2,0.0212,0.8286771582051817,0.7301897906635311,0.0984873675416506,998
DQ15_14,5,0.0514,0.8158201973773191,0.7296828812960572,0.0861373160812619,948
DQ15_13,7,0.0716,0.8043170799384919,0.7296731537545492,0.0746439261839426,543
DQ60_7,2,0.0212,0.8215243473380947,0.729513456707381,0.0920108906307136,935
DQ15_12,7,0.0716,0.8308850205151992,0.7290579545600075,0.1018270659551916,860
DQ90_8,10,0.1018,0.8401855774918555,0.7284587750568003,0.1117268024350551,236
Default_13,2,0.0212,0.8180719909975868,0.7283618780260568,0.0897101129715299,870
Default_16,2,0.0212,0.8027615052891287,0.7282044044805778,0.0745571008085509,830
DQ1_10,7,0.0716,0.8119746115499739,0.7263724969400911,0.0856021146098827,625
Default_9,5,0.0514,0.8570827817255648,0.7260583919658428,0.131024389759722,574
DQ15_11,5,0.0514,0.8091054364973836,0.7260039498956357,0.0831014866017479,804
Default_14,4,0.0413,0.8287733935973147,0.7256241540946291,0.1031492395026856,554
DQ15_10,3,0.0312,0.7941983201270039,0.7243790458223658,0.069819274304638,983
DQ60_6,15,0.1522,0.8527045357934081,0.7230607310113961,0.1296438047820119,190
DQ90_6,5,0.0514,0.8605222621632611,0.7224508132532962,0.1380714489099649,435
Default_8,4,0.0413,0.8783951779028496,0.7219779738615799,0.1564172040412697,770
DQ1_9,9,0.0917,0.8073894373097947,0.7218907135385324,0.0854987237712623,507
DQ15_9,5,0.0514,0.8181199252732784,0.7215569455161213,0.0965629797571571,906
DQ30_4,5,0.0514,0.8447186034616848,0.7201789683211749,0.1245396351405099,542
DQ15_8,8,0.0816,0.8293944738880449,0.7200423575190518,0.1093521163689931,707
DQ90_5,4,0.0413,0.8683606558130197,0.7196447039401511,0.1487159518728685,397
DQ15_7,3,0.0312,0.7985607097862953,0.7182791822795617,0.0802815275067336,997
DQ90_7,7,0.0716,0.8034832803742175,0.7168985460196193,0.0865847343545981,153
DQ60_5,6,0.0615,0.8445312132438394,0.7157853867161807,0.1287458265276586,338
DQ15_6,5,0.0514,0.8176188235209266,0.7156141556947908,0.1020046678261358,793
DQ1_8,3,0.0312,0.7789087654771235,0.7144185502503266,0.0644902152267968,979
DQ15_5,6,0.0615,0.836753996409977,0.7139233382754813,0.1228306581344957,831
Default_5,5,0.0514,0.8529590463765893,0.7134832337291493,0.1394758126474399,130
DQ30_3,2,0.0212,0.8361677871196738,0.7124252043735493,0.1237425827461244,994
Default_7,21,0.2127,0.8375731754489544,0.7119549969629801,0.1256181784859742,93
