Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Reason,Description
ENG-bk,"[0.50, inf)",4248,0.16979774562315134,2565,1683,0.3961864406779661,0.36444617056901946,0.022192524224211883,0.002758814505435296,Excessive Number of Accounts,Flag for Open BK
ENG-bk,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Number of Accounts,Flag for Open BK
ENG-bk,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Excessive Number of Accounts,Flag for Open BK
ENG-bk,,25018,1.0,12865,12153,0.4857702454232952,,0.026656317570169622,0.0033166637779120864,Excessive Number of Accounts,Flag for Open BK
linkt003__tu,"(-inf, 0.50)",18539,0.7410264609481173,9852,8687,0.46857975079562003,0.06891243213546372,0.00351424111058992,0.0004391932383039712,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,"[0.50, 1.50)",5153,0.20597170037572948,2415,2738,0.5313409664273239,-0.18246283260676546,0.006856141225611761,0.0008558307778884101,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,"[1.50, inf)",1326,0.05300183867615317,598,728,0.5490196078431373,-0.2536446870910989,0.0034039623330608805,0.0004243583436722375,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Length of residence,Number of non-military non-corroborated addresses in past 12 months
linkt003__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.013774344669262561,0.0017193823598646188,Length of residence,Number of non-military non-corroborated addresses in past 12 months
at24s__tu,"(-inf, 1.50)",15991,0.6391797905508034,8144,7847,0.4907135263585767,-0.019784226182213538,0.0002502472330944543,3.128039398703946e-05,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
at24s__tu,"[1.50, 2.50)",3162,0.12638899992005756,1624,1538,0.4864010120177103,-0.0025250221890105104,8.058515565816871e-07,1.0073141783389428e-07,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
at24s__tu,"[2.50, 3.50)",1697,0.06783116156367415,876,821,0.48379493223335296,0.007908588638918794,4.242053019657171e-06,5.302552455735074e-07,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
at24s__tu,"[3.50, inf)",4168,0.16660004796546488,2221,1947,0.46713051823416507,0.07473342567718347,0.0009290550576973692,0.00011610486448919693,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
at24s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
at24s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
at24s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.0011843501953680623,0.00014801624513964377,Delinquent credit obligations,Number of currently open and satisfactory trades 6 months or older
au20s__tu,"(-inf, 37.50)",10629,0.42485410504436805,4966,5663,0.5327876564117038,-0.18827349289073722,0.015055653033900298,0.0018791819819279944,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[37.50, 47.50)",1330,0.05316172355903749,631,699,0.5255639097744361,-0.1592792725376415,0.001348913610392938,0.00016843618862109801,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[47.50, 56.50)",1313,0.052482212806779116,627,686,0.5224676313785225,-0.14686547993800889,0.001132345306121354,0.00014141609151063599,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[56.50, 85.50)",5172,0.20673115356943,2686,2486,0.48066511987625676,0.020443712167482246,8.637419257011853e-05,1.0796586055956134e-05,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[85.50, 102.50)",2374,0.09489167799184588,1349,1025,0.43176074136478515,0.2177365717902032,0.004467263650054012,0.0005573074943066676,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[102.50, 118.50)",1566,0.06259493164921257,946,620,0.3959131545338442,0.36558869816769674,0.008231825833526343,0.0010232859105835605,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[118.50, 132.50)",1264,0.05052362299144616,777,487,0.3852848101265823,0.41024183444001316,0.008337760910768077,0.001034972567732607,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,"[132.50, inf)",1370,0.05476057238788073,883,487,0.3554744525547445,0.5381266846763257,0.015370740419424735,0.0018984904683228146,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
au20s__tu,,25018,1.0,12865,12153,0.4857702454232952,,0.05403087695675787,0.006713887289061334,"Insufficient credit file, Length of Credit",Months since oldest auto trade opened
bc97a__tu,"(-inf, 10.50)",18516,0.7401071228715325,9396,9120,0.49254698639014904,-0.027120130134617854,0.0005445266335256305,6.806374332925941e-05,Excessive Account Balances,Total open to buy of open credit cards verified in past 3 months
