accountid,applicationdate__app,request_datetime,ENG-bk,ENG-loan_to_value,rp01s__tu,g232s__tu,ENG-wtd_avg,tag_policy_decline,tag_policy_approval,pd_gen12,lgd_gen12,pd_gen13,lgd_gen13,has_inst_tag,ecnl_gen12,tag_approved_gen12,ecnl_gen13,tag_approved_gen13,ecnl_policy,tag_approved_policy
8655009,02/17/2025 12:14:50,2025-02-17 19:15:34-07:00,0.0,0.8982955339805826,0.0,14.0,1.0,0.0,0.0,0.23406233075748153,0.6050258837191707,0.37736611338819276,0.27775640912627786,0,0.3342084936881172,1,0.24736542153032037,1,0.3342084936881172,1
8657371,02/18/2025 08:38:51,2025-02-21 21:35:20-07:00,1.0,0.9782014218009478,0.0,13.0,0.7236394557823129,0.0,0.0,0.20542066198912626,0.6725454561128652,0.29041333282861,0.17289834384226316,1,0.32604516943746137,1,0.11850028289083753,1,0.32604516943746137,1
8660595,02/19/2025 10:17:22,2025-02-19 17:18:05-07:00,0.0,1.3087473002159826,0.0,11.0,1.0,0.0,0.0,0.17309123198595217,0.635158542253608,0.3393293184512945,0.39004257415648635,1,0.25945928402078516,1,0.31235279881900124,1,0.25945928402078516,1
8660779,02/19/2025 10:53:15,2025-02-24 15:56:27-07:00,0.0,1.27,0.0,17.0,0.6849838377901851,0.0,0.0,0.327612995408498,0.6778895681723749,0.5036288847515769,0.39004257415648635,1,0.5241216194848948,0,0.46359062764223435,0,0.5241216194848948,0
8661908,02/19/2025 14:19:09,2025-02-19 21:19:54-07:00,0.0,1.2834033212445124,0.0,7.0,1.0,0.0,0.0,0.21292636723261255,0.5640068087227231,0.288718613619078,0.39004257415648635,0,0.2834169332668606,1,0.2657656209803901,1,0.2834169332668606,1
8662954,02/19/2025 19:12:47,2025-02-20 02:13:02-07:00,1.0,1.5154425123280562,0.0,13.0,1.0,0.0,0.0,0.2429536987097047,0.6313940738520399,0.43182060089715063,0.39086345320128246,0,0.36202288038235003,0,0.3983276233030669,0,0.36202288038235003,0
8665844,02/20/2025 15:52:17,2025-02-20 22:53:03-07:00,0.0,1.3005162898344311,0.0,7.0,0.5538461538461539,0.0,0.0,0.11243043827220192,0.6120153577249852,0.275941898288679,0.39004257415648635,0,0.16238960556007892,1,0.2540046484496991,1,0.16238960556007892,1
8668391,02/21/2025 11:55:11,2025-02-21 18:56:12-07:00,1.0,1.0056674543501611,1.0,6.0,0.10714285714285714,0.0,0.0,0.19497367607837604,0.6608604792762365,0.48304237733084643,0.17289834384226316,1,0.3040869369657964,1,0.19710065582887365,1,0.3040869369657964,1
8670269,02/21/2025 16:13:38,2025-02-21 23:14:16-07:00,0.0,1.1603108808290155,0.0,6.0,0.8841354723707665,0.0,0.0,0.15328978717837652,0.6418752917464898,0.20589782593216074,0.3501845945669622,0,0.23220730740583154,1,0.1701613022032035,1,0.23220730740583154,1
8671930,02/22/2025 09:44:15,2025-02-22 16:44:31-07:00,0.0,1.0977173913043479,1.0,6.0,0.12273524254821741,1.0,0.0,0.3246571211157398,0.644177833835329,0.5642746115784242,0.3372811670434425,0,0.49356313360614107,0,0.4491533108817285,0,1.0,0
8675488,02/22/2025 17:11:21,2025-02-23 00:11:55-07:00,1.0,1.301111111111111,0.0,9.0,0.42645074224021595,0.0,0.0,0.08936879900292038,0.6168462273704972,0.4141575985398759,0.3232454576829602,0,0.1300992633626175,1,0.31594396748323894,1,0.1300992633626175,1
8676643,02/24/2025 08:22:33,2025-02-24 15:23:11-07:00,1.0,1.2731088082901554,0.0,6.0,0.5357142857142857,0.0,0.0,0.08165412246380374,0.5838596679115713,0.2698054368895558,0.31672530923551634,0,0.11251193522777225,1,0.20167193662015284,1,0.11251193522777225,1
8677835,02/24/2025 11:11:05,2025-02-24 18:11:41-07:00,0.0,1.2641961852861034,0.0,6.0,1.0,0.0,0.0,0.46446009367484986,0.6267344453310779,0.5589670162129214,0.39004257415648635,0,0.6869798084830369,0,0.5145294039385296,0,0.6869798084830369,0
8684598,02/25/2025 15:12:12,2025-02-26 16:22:09-07:00,1.0,1.27,1.0,17.0,0.2531194295900178,0.0,0.0,0.14565217687787207,0.6459189622366798,0.4301079608066415,0.31672530923551634,0,0.22202762693006553,1,0.3214935414630924,1,0.22202762693006553,1
8685056,02/25/2025 16:14:59,2025-02-26 16:35:19-07:00,1.0,1.148360625975818,2.0,5.0,0.8666666666666667,1.0,0.0,0.07335648777054142,0.5708060255583343,0.2572416203224595,0.2596410016840132,0,0.09881868755040225,1,0.1576255138618071,1,1.0,0
8685192,02/25/2025 16:36:34,2025-02-27 22:00:49-07:00,0.0,1.27,0.0,17.0,0.6285714285714286,0.0,0.0,0.13739508020590457,0.6641944512787812,0.20120225574586714,0.39004257415648635,0,0.21536663777760517,1,0.18520677198701493,1,0.21536663777760517,1
8687062,02/26/2025 10:31:02,2025-02-26 17:31:23-07:00,0.0,0.9364622094186372,0.0,7.0,,0.0,0.0,0.29107196040074834,0.640427256136299,0.4971768405685941,0.27775640912627786,0,0.43992858397288875,0,0.32590196729151033,1,0.43992858397288875,0
8700608,03/01/2025 08:35:36,2025-03-01 15:35:55-07:00,1.0,1.27,1.0,8.0,0.7252747252747253,0.0,0.0,0.3721619581486206,0.7328506641541108,0.7529540649802954,0.31672530923551634,0,0.6436643661569819,0,0.5628118774076145,0,0.6436643661569819,0
