feature,pricing_pd__model6,pricing_lgd__model6,pricing_pd__model3,pricing_lgd__model3,pricing_pd__model4,pricing_lgd__model4,pricing_pd__model5,pricing_lgd__model5,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,pricing_pd__maybePTImodel7,pricing_lgd__maybePTImodel7,pricing_pd__yesPTImodel7,pricing_lgd__yesPTImodel7,eng,app,ln,tu,sum,description
linka012__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of unpaid checking account closures for cause in the last 2 years
rev225__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Average total Payment Ratio for Revolving accounts over the past 24 months
linka017__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of checking account closures for cause in the last 5 years
s207s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent public record bankruptcy
bc104s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Average of the open credit card trade utilizations verified in past 12 months
g990s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of deduped inquiries in past 12 months
g407s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of deduped finance inquiries
ret225__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Average total Payment Ratio for Retail accounts over the past 24 months
cv21__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Total payment amount of trades verified in past 3 months
rt20s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since oldest retail trade opened
trv06__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of months non-mortgage balance increases last 12 months
co01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of charged-off trades
agg910__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Max aggregate bankcard utilization over last 3 months
bankruptcycount24month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
bankruptcytimenewest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
re01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of revolving trades
addrinputproblems__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates any problems on file associated with the input address
ret235__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Aggregate Excess Payment for Retail accounts over the past 24 months
evictioncount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
linkf110__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of lenders / locations with inquiries within last 3 months
rev205__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total Payment Ratio for Revolving accounts over the past 24 months
bankruptcydismissed24month__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Indicates subject has one or more dismissed bankruptcies on file in the last 24 months
bc06s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of credit card trades opened in past 6 months
linkf059__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,"Number of open, collection or charge-off trade segments STOREFRONT LENDER"
co07s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total balance of trades that charged-off in the past 24 months
bankruptcycount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Number of bankruptcies
criminalfelonycount__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Total felony criminal convictions on subject's file
linkf003__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of NSF within last 18 months
linkt009__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of tradeline bankruptcies
cv15__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of deduped auto inquiries
linkf143__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct bank accounts within last 6 months
rp05s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Total balance of repossession trades
assetproppurchasetimenewest__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,8.0,Time (in months) since most recently recorded real property purchase based on real property ownership records on subject's file
g003c__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of real estate trades with 90 or more days past due ratings in past 12 months
fc04s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since most recent foreclosure trade reported
linkf170__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of distinct home phones within last 6 months
re21s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Months since most recent revolving trade opened
s071b__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of non-medical third party collections opened in past 36 months
bc107s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of 30 and 60 days past due ratings on credit card trades
bc01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of credit card trades
bkc84__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Months since a Bankcard trade last exceeded 90% utilization
fi34s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Utilization for open finance installment trades verified in past 12 months
paymnt07__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Ratio of actual to minimum payment for non-mortgage trades last month
g099a__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of tradeline bankruptcies verified in past 24 months
subjectabilityprimaryfactor__ln,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,1,0,8.0,Indicates the primary factor behind the value returned for the SubjectAbilityIndex attribute
g211s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Highest balance of charged-off trades
paymnt10__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,8.0,Number of payments in last 3 months
mt01s__tu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0,0,0,1,8.0,Number of mortgage trades
