,feature,median__pd,median__parse,median_diff
45,ret327__tu,-1.0,-1.0,0.0
1539,g228s__tu,-1.0,-1.0,0.0
747,businessassociationtimeoldest__ln,-1.0,-1.0,0.0
567,jt34s__tu,-1.0,-1.0,0.0
151,ret132__tu,-1.0,-1.0,0.0
46,ret328__tu,-1.0,-1.0,0.0
44,ret326__tu,-1.0,-1.0,0.0
226,aut205__tu,-1.0,-1.0,0.0
1990,walshrs2__tu,-1.0,-1.0,0.0
227,aut204__tu,-1.0,-1.0,0.0
78,rvdexq1__tu,-1.0,-1.0,0.0
1996,aggs911__tu,-1.0,-1.0,0.0
294,s061s__tu,1.0,1.0,0.0
1493,br30s__tu,-1.0,-1.0,0.0
1893,bi20s__tu,-1.0,-1.0,0.0
1545,lm04s__tu,-1.0,-1.0,0.0
1736,cv08__tu,-1.0,-1.0,0.0
1868,bc31s__tu,-1.0,-1.0,0.0
295,s062s__tu,1.0,1.0,0.0
490,rtdexq3__tu,-1.0,-1.0,0.0
1845,trv01__tu,1.0,1.0,0.0
208,std205__tu,-1.0,-1.0,0.0
1518,fr02s__tu,-1.0,-1.0,0.0
639,derogcount__ln,1.0,1.0,0.0
869,phoneinputmobile__ln,1.0,1.0,0.0
264,per225__tu,-1.0,-1.0,0.0
404,re24s__tu,-1.0,-1.0,0.0
1494,br31s__tu,-1.0,-1.0,0.0
1862,bc24s__tu,-1.0,-1.0,0.0
287,rt35s__tu,-1.0,-1.0,0.0
220,std225__tu,-1.0,-1.0,0.0
1497,br34s__tu,-1.0,-1.0,0.0
1764,paymnt08__tu,-2.0,-2.0,0.0
122,ret253__tu,-1.0,-1.0,0.0
124,ret255__tu,-1.0,-1.0,0.0
1594,mt30s__tu,-1.0,-1.0,0.0
538,s207a__tu,-1.0,-1.0,0.0
68,bkc326__tu,-1.0,-1.0,0.0
210,aut224__tu,-1.0,-1.0,0.0
888,mt34b__tu,-1.0,-1.0,0.0
889,mt34s__tu,-1.0,-1.0,0.0
382,mt34c__tu,-1.0,-1.0,0.0
1939,indexq3__tu,-1.0,-1.0,0.0
1966,indexq2__tu,-1.0,-1.0,0.0
369,of35s__tu,-1.0,-1.0,0.0
1569,in27s__tu,-3.0,-3.0,0.0
1946,indexq1__tu,-1.0,-1.0,0.0
831,addrcurrenttimelastsale__ln,-1.0,-1.0,0.0
1920,bc104s__tu,-1.0,-1.0,0.0
847,addrinputtimelastsale__ln,-1.0,-1.0,0.0
1867,bc30s__tu,-1.0,-1.0,0.0
123,ret254__tu,-1.0,-1.0,0.0
