,feature,mean__pd,mean__parse,mean_diff
120,ret235__tu,242.7926139638977,95.37146534082532,87.1891236503743
1608,lm27s__tu,833.6560489060489,327.6602028770058,87.1417833431936
1423,g202b__tu,153.99360521235522,60.68700537798959,86.92596837486548
504,rets109__tu,39.99343948736736,15.77973545770988,86.82921154659738
1032,linkf125__tu,0.7390202702702703,1.8632110532989372,86.40206370944242
1857,bc03s__tu,-1.2715170527670527,-0.5072362380306938,85.93443719152187
812,linkc025__tu,0.2031048906048906,0.0812163875650387,85.73997966272732
270,rle906__tu,4094.624605837598,1638.657288479036,85.6740471733353
1724,rvlr10__tu,-0.4939671814671815,-0.1980674216256394,85.51588562742832
1299,linkf056__tu,0.0033783783783783,0.0013554282716103,85.4682185539991
305,rp05s__tu,1712.2150654712152,688.4376695366889,85.29158599285336
1809,agg723__tu,80.84778740464479,200.5058917286917,85.05885168634292
1671,hr33s__tu,36.50459096189097,14.796933671461677,84.62772771597709
1670,hr32s__tu,36.50459096189097,14.796933671461677,84.62772771597709
940,linkd005__tu,0.0366795366795366,0.0902890122863014,84.44528356575753
571,jt44s__tu,1198.0503937224687,486.7469795970793,84.43785886535564
289,rt57s__tu,13.79816218097702,5.62875760286259,84.10396160599987
1398,g199s__tu,795.1295669516684,324.4037007466139,84.09323416942293
1421,g201b__tu,144.0452461389961,59.12054566918805,83.60137768664165
975,linkf107__tu,2.1515444015444016,5.19174937694023,82.80221565705104
243,rev152__tu,0.5859475546975547,1.4104980105810851,82.60184702490996
511,rets116__tu,40.98049902643742,17.0676803614362,82.38955611412908
954,linkf204__tu,3.4023403629506066,1.4197455691769996,82.2297578964481
373,of101s__tu,2869.962347105967,1198.6419280511202,82.15694159591462
1793,agg803__tu,25.60543551739069,61.04208731025919,81.79495647753336
1792,agg804__tu,24.586526361593343,58.59851506585583,81.7742904748721
1808,agg722__tu,86.75309588242226,206.4326026374378,81.64075352871184
649,evictioncount__ln,0.2405083655083655,0.1013291941760307,81.43000521114934
1764,paymnt07__tu,-0.8440194658944657,-0.3561877486773643,81.29124892673367
946,linkd006__tu,0.0394144144144144,0.093218486292685,81.13231572472222
115,rvlr66__tu,-0.4558799871299871,-0.1931266669581566,80.9709171752637
666,assetpersonal__ln,0.0189832689832689,0.0080451226443968,80.93819632002106
669,assetpropsoldcount12month__ln,0.0046251608751608,0.0019675571684666,80.62239850415176
282,rt101s__tu,640.7372666336436,273.1234019501049,80.4529349650744
455,g207b__tu,758.3494774935676,324.51815948362014,80.1263798447209
1658,hr28s__tu,40.92649667270729,17.57094705085042,79.8515221698526
503,rets108__tu,37.64629846089995,16.18729809645385,79.7234505466633
509,rets114__tu,39.00194322589164,16.854155639170298,79.30302343608464
1644,g238s__tu,3.882802445302445,8.980149534344804,79.25625621720073
2000,at03s__tu,1.011100386100386,2.333304184338245,79.06960837961343
944,linkd010__tu,0.0123887721203346,0.0285782685496917,79.0366898100219
893,linkf183__tu,117.94461872586872,271.7139827729439,78.92517370621613
997,linkf090__tu,1.30385296010296,3.003038782737965,78.90543454961248
483,rets903__tu,435.3553887182443,189.3468962897311,78.76023454128152
1770,cv02__tu,-0.3754021879021879,-0.857920510690394,78.24688921055886
1220,linka004__tu,0.0166103603603603,0.0073018232696427,77.85601879569067
1254,linkf011__tu,3.436654285307863,1.5172371524046675,77.49128768915817
1022,linkf154__tu,0.528957528957529,1.194350924751869,77.22278555090818
996,linkf089__tu,1.025297619047619,2.311267544051419,77.08345931475093
74,ret318__tu,621.6386793945921,275.8050831615844,77.0708117125857
1988,at27s__tu,-1.2388191763191765,-0.5503913252590616,76.9532540137521
59,ret319__tu,861.3949605668885,383.9817797834611,76.66967999564878
448,rets101__tu,34.91992406945551,15.594186452082258,76.5161948526573
502,rets107__tu,33.11649773948534,14.83315690884424,76.26057357340336
189,bitlhmgroup__app,0.0696589446589446,0.0312404354859866,76.15212128711576
1036,linkf129__tu,0.1119691119691119,0.2495955576931485,76.12825990581116
995,linkf088__tu,0.7006515444015444,1.5616064011193214,76.11464982783377
1807,agg721__tu,94.82385769984673,211.22400009116305,76.06662776957074
716,bitmaintenanceagreement__app,0.0560247747747747,0.0251628700100564,76.02611172305977
707,bankruptcydismissed24month__ln,0.0157657657657657,0.0070832058064798,75.99956901195982
872,phoneinputproblems__ln,-0.1025981338481338,-0.2280835993179135,75.89500893704879
140,rev252__tu,28.21846846846847,62.68022823663154,75.82454098317022
451,g199b__tu,699.8979338752314,315.26522219946713,75.77751603259762
482,rets902__tu,206.1792431275571,92.87844590566426,75.77186701881229
679,ssndeceased__ln,-0.0009652509652509,-0.0021424511389969,75.76016839818269
72,ret316__tu,347.0708913551297,156.72845784567764,75.56279451785643
285,rt33s__tu,302.4841515450884,136.96760757171225,75.32865236722559
172,bkc152__tu,0.7239382239382239,1.5980499322285864,75.28993685595412
73,ret317__tu,447.6324344562737,202.8008424649321,75.28261565897736
8,rev320__tu,1.01628861003861,2.2358445192601986,75.00036811128558
1806,agg720__tu,98.45316426098424,216.4013553246387,74.92234268632063
386,mt57s__tu,151.69083815958817,69.23002929474006,74.65189668594392
984,linkf116__tu,1.383807915057915,3.021446373136286,74.34932700557772
1776,agg805__tu,26.16439892239712,57.0532860287134,74.23635282443428
459,g407s__tu,0.8537242599742599,1.860412749770452,74.18111069425194
368,of33s__tu,2012.5983581205903,923.9409778296108,74.14560172671504
1580,mt20s__tu,23.362773487773488,10.73848979056447,74.03997672560301
1268,linkf072__tu,0.0112210424710424,0.0051593721306457,74.01119553801782
