Feature,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Description,rank
cv25__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Percent of trades from inactive to active status in the past 12 months,14
cv25__tu,"(-inf, 0.50)",71730,0.7592324057707167,58893,12837,0.17896277708071937,0.16982506326710012,0.020805403031284114,0.0025975546738493914,Percent of trades from inactive to active status in the past 12 months,14
cv25__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.46631149286448376,0.04415732685088806,Percent of trades from inactive to active status in the past 12 months,14
cv25__tu,Missing,5302,0.05611947881494967,5279,23,0.004337985665786495,4.08243220017035,0.2821937248807809,0.021759978960555454,Percent of trades from inactive to active status in the past 12 months,14
at103s__tu,"(-inf, 51.00)",8113,0.08587275209839432,6924,1189,0.14655491186983854,0.40831547088120157,0.01262295591875795,0.0015669990200913569,Percentage of satisfactory open trades to all open trades verified in 24 months,15
at103s__tu,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Percentage of satisfactory open trades to all open trades verified in 24 months,15
at103s__tu,Missing,21621,0.22884934957714576,20857,764,0.03533601591045742,1.953311564405998,0.4656656111821369,0.0504240274187366,Percentage of satisfactory open trades to all open trades verified in 24 months,15
at103s__tu,,94477,1.0,75082,19395,0.20528805952771573,,0.5775511249448473,0.06431796584009636,Percentage of satisfactory open trades to all open trades verified in 24 months,15
at103s__tu,"[51.00, 76.50)",5580,0.05906199392444722,4122,1458,0.26129032258064516,-0.31429269984231545,0.006371982106694268,0.0007932356206393591,Percentage of satisfactory open trades to all open trades verified in 24 months,15
at103s__tu,"[96.50, inf)",53008,0.561067773108799,38935,14073,0.26548822819197104,-0.3359300277095978,0.06954860607794336,0.00865292747452822,Percentage of satisfactory open trades to all open trades verified in 24 months,15
at103s__tu,"[76.50, 96.50)",6155,0.06514813129121373,4244,1911,0.3104792851340374,-0.5556859932305158,0.023341969659314767,0.0028807763061008303,Percentage of satisfactory open trades to all open trades verified in 24 months,15
reap02__tu,"(-inf, 0.50)",7390,0.07822009589635573,5430,1960,0.2652232746955345,-0.33457088802069834,0.00961424386944482,0.0011962064801141013,Total scheduled monthly payment for all revolving and open heloc trades verified in past 12 months,16
