feature,suffix,feature_name,Description
bc110s,__tu,bc110s__tu,Total past due amount of all credit card trades verified in past 12 months
bi01s,__tu,bi01s__tu,Number of bank installment trades
bi02s,__tu,bi02s__tu,Number of open bank installment trades
bi03s,__tu,bi03s__tu,Number of currently satisfactory open bank installment trades
bi06s,__tu,bi06s__tu,Number of bank installment trades opened in past 6 months
bi09s,__tu,bi09s__tu,Number of bank installment trades opened in past 24 months
bi12s,__tu,bi12s__tu,Number of open bank installment trades verified in past 12 months
bi20s,__tu,bi20s__tu,Months since oldest bank installment trade opened
bi21s,__tu,bi21s__tu,Months since most recent bank installment trade opened
bi24s,__tu,bi24s__tu,Number of currently open and satisfactory bank installment trades 6 months or older
bi25s,__tu,bi25s__tu,Number of currently open and satisfactory bank installment trades 12 months or older
bi27s,__tu,bi27s__tu,Number of currently open and satisfactory bank installment trades 24 months or older
bi28s,__tu,bi28s__tu,Total credit line of open bank installment trades verified in past 12 months
bi29s,__tu,bi29s__tu,Number of open bank installment trades with balance > $0 verified in past 12 months
bi30s,__tu,bi30s__tu,Percentage of open bank installment trades > 50% of credit line verified in past 12 months
bi31s,__tu,bi31s__tu,Percentage of open bank installment trades > 75% of credit line verified in past 12 months
bi32s,__tu,bi32s__tu,Maximum balance owed on open bank installment trades verified in past 12 months
bi33s,__tu,bi33s__tu,Total balance of open bank installment trades verified in past 12 months
bi34s,__tu,bi34s__tu,Utilization for open bank installment trades verified in past 12 months
bi35s,__tu,bi35s__tu,Average balance of open bank installment trades verified in past 12 months
bi36s,__tu,bi36s__tu,Months since most recent bank installment delinquency
bi57s,__tu,bi57s__tu,Total past due amount of open bank installment trades verified in past 12 months
bi101s,__tu,bi101s__tu,Total balance of all bank installment trades verified in past 12 months
br01s,__tu,br01s__tu,Number of bank revolving trades
br02s,__tu,br02s__tu,Number of open bank revolving trades
br03s,__tu,br03s__tu,Number of currently satisfactory open bank revolving trades
br06s,__tu,br06s__tu,Number of bank revolving trades opened in past 6 months
br09s,__tu,br09s__tu,Number of bank revolving trades opened in past 24 months
br12s,__tu,br12s__tu,Number of open bank revolving trades verified in past 12 months
br20s,__tu,br20s__tu,Months since oldest bank revolving trade opened
br21s,__tu,br21s__tu,Months since most recent bank revolving trade opened
br24s,__tu,br24s__tu,Number of currently open and satisfactory bank revolving trades 6 months or older
br25s,__tu,br25s__tu,Number of currently open and satisfactory bank revolving trades 12 months or older
br27s,__tu,br27s__tu,Number of currently open and satisfactory bank revolving trades 24 months or older
br28s,__tu,br28s__tu,Total credit line of open bank revolving trades verified in past 12 months
br29s,__tu,br29s__tu,Number of open bank revolving trades with balance > $0 verified in past 12 months
br30s,__tu,br30s__tu,Percentage of open bank revolving trades > 50% of credit line verified in past 12 months
br31s,__tu,br31s__tu,Percentage of open bank revolving trades > 75% of credit line verified in past 12 months
br32s,__tu,br32s__tu,Maximum balance owed on open bank revolving trades verified in past 12 months
br33s,__tu,br33s__tu,Total balance of open bank revolving trades verified in past 12 months
br34s,__tu,br34s__tu,Utilization for open bank revolving trades verified in past 12 months
br35s,__tu,br35s__tu,Average balance of open bank revolving trades verified in past 12 months
br36s,__tu,br36s__tu,Months since most recent bank revolving delinquency
br57s,__tu,br57s__tu,Total past due amount of open bank revolving trades verified in past 12 months
br101s,__tu,br101s__tu,Total balance of all bank revolving trades verified in past 12 months
br109s,__tu,br109s__tu,Number of bank revolving trades with past due amount > $50 verified in past 12 months
co01s,__tu,co01s__tu,Number of charged-off trades
co02s,__tu,co02s__tu,Number of charge-off trades in past 12 months
co03s,__tu,co03s__tu,Number of charge-off trades in past 24 months
co04s,__tu,co04s__tu,Months since most recent charged-off trade reported
co05s,__tu,co05s__tu,Total balance of trades that charged-off
co06s,__tu,co06s__tu,Total balance of trades that charged-off in the past 12 months
co07s,__tu,co07s__tu,Total balance of trades that charged-off in the past 24 months
fc01s,__tu,fc01s__tu,Number of foreclosure trades
fc02s,__tu,fc02s__tu,Number of foreclosure trades in past 12 months
fc03s,__tu,fc03s__tu,Number of foreclosure trades in past 24 months
fc04s,__tu,fc04s__tu,Months since most recent foreclosure trade reported
fc05s,__tu,fc05s__tu,Total balance of foreclosure trades
fc06s,__tu,fc06s__tu,Total balance of foreclosure trades in past 12 months
fc07s,__tu,fc07s__tu,Total balance of foreclosure trades in past 24 months
fi01s,__tu,fi01s__tu,Number of finance installment trades
fi02s,__tu,fi02s__tu,Number of open finance installment trades
fi03s,__tu,fi03s__tu,Number of currently satisfactory open finance installment trades
fi06s,__tu,fi06s__tu,Number of finance installment trades opened in past 6 months
fi09s,__tu,fi09s__tu,Number of finance installment trades opened in past 24 months
fi12s,__tu,fi12s__tu,Number of open finance installment trades verified in past 12 months
fi20s,__tu,fi20s__tu,Months since oldest finance installment trade opened
fi21s,__tu,fi21s__tu,Months since most recent finance installment trade opened
fi24s,__tu,fi24s__tu,Number of currently open and satisfactory finance installment trades 6 months or older
fi25s,__tu,fi25s__tu,Number of currently open and satisfactory finance installment trades 12 months or older
fi27s,__tu,fi27s__tu,Number of currently open and satisfactory finance installment trades 24 months or older
fi28s,__tu,fi28s__tu,Total credit line of open finance installment trades verified in past 12 months
fi29s,__tu,fi29s__tu,Number of open finance installment trades with balance > $0 verified in past 12 months
fi30s,__tu,fi30s__tu,Percentage of open finance installment trades > 50% of credit line verified in past 12 months
fi31s,__tu,fi31s__tu,Percentage of open finance installment trades > 75% of credit line verified in past 12 months
fi32s,__tu,fi32s__tu,Maximum balance owed on open finance installment trades verified in past 12 months
fi33s,__tu,fi33s__tu,Total balance of open finance installment trades verified in past 12 months
fi34s,__tu,fi34s__tu,Utilization for open finance installment trades verified in past 12 months
fi35s,__tu,fi35s__tu,Average balance of open finance installment trades verified in past 12 months
fi36s,__tu,fi36s__tu,Months since most recent finance installment delinquency
fi57s,__tu,fi57s__tu,Total past due amount of open finance installment trades verified in past 12 months
fi101s,__tu,fi101s__tu,Total balance of all finance installment trades verified in past 12 months
fr01s,__tu,fr01s__tu,Number of finance revolving trades
fr02s,__tu,fr02s__tu,Number of open finance revolving trades
fr03s,__tu,fr03s__tu,Number of currently satisfactory open finance revolving trades
fr06s,__tu,fr06s__tu,Number of finance revolving trades opened in past 6 months
fr09s,__tu,fr09s__tu,Number of finance revolving trades opened in past 24 months
fr12s,__tu,fr12s__tu,Number of open finance revolving trades verified in past 12 months
fr20s,__tu,fr20s__tu,Months since oldest finance revolving trade opened
fr21s,__tu,fr21s__tu,Months since most recent finance revolving trade opened
fr24s,__tu,fr24s__tu,Number of currently open and satisfactory finance revolving trades 6 months or older
fr25s,__tu,fr25s__tu,Number of currently open and satisfactory finance revolving trades 12 months or older
fr27s,__tu,fr27s__tu,Number of currently open and satisfactory finance revolving trades 24 months or older
fr28s,__tu,fr28s__tu,Total credit line of open finance revolving trades verified in past 12 months
fr29s,__tu,fr29s__tu,Number of open finance revolving trades with balance > $0 verified in past 12 months
fr30s,__tu,fr30s__tu,Percentage of open finance revolving trades > 50% of credit line verified in past 12 months
fr31s,__tu,fr31s__tu,Percentage of open finance revolving trades > 75% of credit line verified in past 12 months
fr32s,__tu,fr32s__tu,Maximum balance owed on open finance revolving trades verified in past 12 months
fr33s,__tu,fr33s__tu,Total balance of open finance revolving trades verified in past 12 months
fr34s,__tu,fr34s__tu,Utilization for open finance revolving trades verified in past 12 months
fr35s,__tu,fr35s__tu,Average balance of open finance revolving trades verified in past 12 months
fr36s,__tu,fr36s__tu,Months since most recent finance revolving delinquency
fr57s,__tu,fr57s__tu,Total past due amount of open finance revolving trades verified in past 12 months
fr101s,__tu,fr101s__tu,Total balance of all finance revolving trades verified in past 12 months
g001s,__tu,g001s__tu,Number of 30 days past due ratings in past 12 months
g001b,__tu,g001b__tu,Number of 30 or more days past due ratings in past 12 months
g001c,__tu,g001c__tu,Number of real estate trades with 30 or more days past due ratings in past 12 months
g002s,__tu,g002s__tu,Number of 60 days past due ratings in past 12 months
g002b,__tu,g002b__tu,Number of 60 or more days past due ratings in past 12 months
g002c,__tu,g002c__tu,Number of real estate trades with 60 or more days past due ratings in past 12 months
g003s,__tu,g003s__tu,Number of 90 or more days past due ratings in past 12 months
g003c,__tu,g003c__tu,Number of real estate trades with 90 or more days past due ratings in past 12 months
g020s,__tu,g020s__tu,Number of trades with maximum delinquency of 30 days past due in past 24 months
g041s,__tu,g041s__tu,Number of trades 30 or more days past due ever
g041c,__tu,g041c__tu,Number of real estate trades 30 or more days past due ever
