feature,ad__noPTI_noDown_model1,pricing_pd__noPTI_noDown_model1,pricing_lgd__noPTI_noDown_model1,ad__noPTImodel7,pricing_pd__noPTImodel7,pricing_lgd__noPTImodel7,ad__noPTImodel10,pricing_pd__noPTImodel10,pricing_lgd__noPTImodel10,eng,app,ln,tu,sum,description
cv14__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of deduped inquiries
cv15__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of deduped auto inquiries
cv19__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total balance of trades verified in past 3 months
cv21__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Total payment amount of trades verified in past 3 months
cv24__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Total payment amount of bankcard trades verified in past 3 months
fi31s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Percentage of open finance installment trades > 75% of credit line verified in past 12 months
fi34s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Utilization for open finance installment trades verified in past 12 months
fi36s__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Months since most recent finance installment delinquency
g099s__tu,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0.0,Number of public record bankruptcies in past 24 months
g051s__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Percentage of trades ever delinquent
g057s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of trades 30 or more days past due in past 3 months
g058s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of trades 30 or more days past due in past 6 months
g094s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of public record bankruptcies
g095s__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Months since most recent public record
g099a__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of tradeline bankruptcies verified in past 24 months
g100s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of tradeline bankruptcies
g042c__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of real estate trades 60 or more days past due ever
g102s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Months since most recent inquiry
g105s__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Months since most recent mortgage inquiry
g106s__tu,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,1,0.0,Months on file
g200s__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Percentage of contractually liable debt
g201a__tu,1.0,0.0,0.0,,,,1.0,0.0,0.0,0,0,0,1,0.0,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
g202b__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Total open to buy of closed trades verified in past 12 months (excluding installments and mortgages)
g043c__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of real estate trades 90 or more days past due ever
g020s__tu,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,1,0.0,Number of trades with maximum delinquency of 30 days past due in past 24 months
fltadvance__app,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0.0,Advance
fr101s__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Total balance of all finance revolving trades verified in past 12 months
fltapproveddowntotal__app,,,,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0.0,Total down
fltdowncash__app,,,,1.0,1.0,1.0,0.0,1.0,1.0,0,1,0,0,0.0,Cash Down
fltgrossmonthly__income_count,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,Total income sources (max = 2)
fltgrossmonthly__income_sum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,Total income
fr02s__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Number of open finance revolving trades
fr03s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of currently satisfactory open finance revolving trades
fr20s__tu,1.0,0.0,1.0,,,,1.0,0.0,1.0,0,0,0,1,0.0,Months since oldest finance revolving trade opened
g003c__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of real estate trades with 90 or more days past due ratings in past 12 months
fr21s__tu,0.0,0.0,1.0,,,,0.0,0.0,1.0,0,0,0,1,0.0,Months since most recent finance revolving trade opened
fr30s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Percentage of open finance revolving trades > 50% of credit line verified in past 12 months
fr35s__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Average balance of open finance revolving trades verified in past 12 months
g001b__tu,,,,1.0,1.0,1.0,,,,0,0,0,1,0.0,Number of 30 or more days past due ratings in past 12 months
g001s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of 30 days past due ratings in past 12 months
g002s__tu,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0.0,Number of 60 days past due ratings in past 12 months
walshr10__tu,0.0,1.0,0.0,,,,0.0,1.0,0.0,0,0,0,1,0.0,Months since most recent wallet share shift > 50% in last 24 months
total,210.0,117.0,72.0,519.0,519.0,519.0,210.0,122.0,76.0,3,14,75,493,0.0,
