bigaccountid__app,applicationdate__app,intopenbktype__app,ENG-loan_to_value,fltgrossmonthly__income_sum,strdealershiptrackertype__app,FICO,yhat_ad_old,yhat_ad_new,yhat_pd_old,yhat_pd_new_logloss,yhat_pd_new_auc,yhat_lgd_old,yhat_lgd_new,ecnl_old,ecnl_new_logloss,ecnl_new_auc,genxi_raw_pd,genxi_raw_lgd,genxi_raw_ecnl,genxi_raw_ecnl_mod,genxi_factor_pd,genxi_factor_lgd,genxi_factor_ecnl,tier
7629684,2024-03-04 08:22:14,nan,1.1666666666666667,4500.0,franchise,472.0,0.48474539653002446,0.6462179109347266,0.5146149502133801,0.3027471757016747,0.35606494011751966,0.36870678272361207,0.6046657660278734,0.18974202263464718,0.4320236128638908,0.5081086602615161,0.4541935489663876,0.46044965378008695,0.20913326237072213,0.37615636856381823,0.454194,0.46045,0.57175712,Decline
7629686,2024-03-04 08:23:46,nan,1.2592592592592593,6000.0,franchise,565.0,0.39714691854288786,0.5454978114325961,0.6818093324869888,0.3786220503172772,0.3395827128719335,0.3868424079334106,0.6150606697915997,0.26375276393073815,0.5495862552037912,0.49291897115563726,0.269877433091013,0.45323386168728924,0.12231759118209283,0.206385719084318,0.269877,0.453234,0.31370672,Decline
7629689,2024-03-04 08:24:48,nan,1.320754716981132,0.0,franchise,585.5,0.24963396516688702,0.4296839483179158,0.36330871389063757,0.4019565602309211,0.4121076370881846,0.3088016174005439,0.6195621360765757,0.11219031846514033,0.5877274735573228,0.6025700395096691,0.23908230371394135,0.3525697561940288,0.08429318953073105,0.13202786092303048,0.247228,0.368041,0.20068256,B
7629691,2024-03-04 08:26:03,nan,1.0714285714285714,5000.0,franchise,524.0,0.5250290636136087,0.7256387022558712,0.5680914653817034,0.5804546324070873,0.45234240742800863,0.45359185355160136,0.6905851779333965,0.25768166076933224,0.9460139428233457,0.7372190701323617,0.31633789828495035,0.5034154467987426,0.1592493844044935,0.27860694868451913,0.316338,0.503415,0.42348264,Decline
7629692,2024-03-04 08:26:15,nan,1.1428571428571428,4500.0,independent,530.0,0.48099264979369455,0.6835871182466233,0.5895503726917,0.3776608971037656,0.3972726169198185,0.4376353014861163,0.6935381333883279,0.25800805509418434,0.6181364713694124,0.6502359536762865,0.3322118877992714,0.4718197759642818,0.15674413847412336,0.27370786511030243,0.332212,0.47182,0.41603616,Decline
7629693,2024-03-04 08:26:31,nan,1.131578947368421,4500.0,franchise,518.0,0.42825204470348244,0.6375725180799344,0.4906599639986904,0.5827004465721364,0.46889679366100867,0.5061712388000039,0.7382861375904168,0.24835796180678243,1.0152712024898105,0.8169848064204195,0.31432072890620183,0.49415473631660867,0.1553230769114884,0.2709289365927229,0.314321,0.494155,0.41181207999999997,Decline
7629694,2024-03-04 08:26:53,nan,0.9789473684210527,5000.0,franchise,596.0,0.18956337205818752,0.3246369931013371,0.24142165584445754,0.1850641807019793,0.21586835813640867,0.339436518799149,0.6073070716680573,0.0819473264225689,0.2652422541405307,0.3093921778516486,0.19095123770781475,0.3825930655402186,0.07305661940333183,0.11005441094179749,0.123267,0.382491,0.12979279999999999,B
7629696,2024-03-04 08:27:22,nan,1.0333333333333334,5500.0,independent,509.0,0.5525030129713384,0.6706685222211828,0.45232596094315464,0.28013367555694735,0.21786659930602165,0.3829967227751149,0.6851566940348351,0.17323936066733284,0.4529676927565233,0.35228371105385714,0.2751464544789652,0.41362803014204,0.11380828596670085,0.1897455174564625,0.275146,0.413628,0.28841392,Decline
7629698,2024-03-04 08:28:14,nan,1.2112676056338028,4500.0,franchise,,0.24737346496603005,0.39469571366755507,0.34900237564172776,0.2724002089619678,0.24144836140916634,0.39637515968513776,0.6341624559662329,0.13833587237548228,0.4076805258296462,0.36135726663021245,0.2753953424066116,0.4220861107060596,0.11624054898297026,0.19450188075266783,0.275395,0.422086,0.29564304,Decline
7629699,2024-03-04 08:28:41,nan,1.32,5000.0,independent,586.0,0.5277582661672867,0.6802660902306394,0.6358278139540974,0.41070926559512455,0.4070140397685778,0.5422460318723135,0.7396887729338515,0.3447751090706569,0.7169609971734655,0.7105103689181153,0.3741953516206403,0.54490274466054,0.20390007413730277,0.3659227119777197,0.374195,0.544903,0.55620296,Decline
7629700,2024-03-04 08:29:01,nan,1.2285714285714286,4000.0,independent,549.0,0.4758020729242861,0.6456525354377424,0.5960200374380441,0.3521894954656321,0.44704816544038134,0.49337779967613554,0.6845597170832757,0.2940630546340701,0.5689835896465452,0.7222335509492571,0.3240020324347918,0.5573997172441236,0.18059864126567432,0.3203560609542641,0.324002,0.5574,0.48694111999999995,Decline
7629702,2024-03-04 08:29:25,nan,1.2820512820512822,5000.0,franchise,632.0,0.31767187741224645,0.5172290484219797,0.2744846495916551,0.14959744529570618,0.282811231935794,0.2968004918360817,0.6262479421652969,0.08146717900025777,0.2210968177563069,0.4179794867696154,0.20428168973415234,0.3497708626788188,0.07145178284780127,0.10691610491236081,0.200163,0.333983,0.14883688,B
7629704,2024-03-04 08:30:00,nan,1.1538461538461537,5500.0,franchise,539.0,0.33136691942288543,0.5954037523822674,0.3185693083734338,0.21341576345551175,0.280916588246904,0.4038894686301704,0.6720661843614036,0.12866678868082707,0.3384936620743671,0.4455551134251319,0.23813271852863246,0.5075624750295122,0.12086723200189887,0.2035494981966733,0.238133,0.507562,0.30939448,Decline
7629705,2024-03-04 08:30:23,nan,1.3529411764705883,5500.0,independent,518.0,0.4293048078422374,0.6204639227349006,0.4796192728039325,0.3867954101167739,0.38631922217838016,0.5073972823561166,0.7117878546923089,0.24335751558633226,0.6497464094055666,0.6489464996985715,0.25231015989667677,0.4736914289205798,0.11951716017263679,0.20090939223239643,0.25231,0.473691,0.30538168,Decline
7629708,2024-03-04 08:31:12,nan,0.8260869565217391,7000.0,franchise,403.0,0.45077478264602183,0.6735763812550164,0.2349297744290692,0.26941226101629423,0.1766766322028254,0.2977870938687838,0.7044062768904541,0.06995905479048144,0.4478706230454598,0.2937070237403458,0.2818751379680298,0.4172404677804654,0.11760971442146399,0.19717932484260547,0.281875,0.41724,0.29971208,Decline
7629709,2024-03-04 08:31:12,nan,1.46875,5500.0,independent,637.0,0.28474181159073253,0.4408784924892177,0.26239350767513986,0.18419262564060712,0.29159833773932253,0.3975006472595105,0.6516897717231469,0.10430158913756143,0.28328602237008177,0.4484747038086041,0.17155592827982685,0.463600977944646,0.07953349612272928,0.12272013767288079,0.156605,0.451799,0.16043904,B
7629712,2024-03-04 08:32:00,nan,1.0277777777777777,4000.0,franchise,637.0,0.3351796135390812,0.5446630831481142,0.30609607166590186,0.11503938407030517,0.11931107460009131,0.42919002881307805,0.7037799223740442,0.13137338181785843,0.19107128474665905,0.19816622361618189,0.11511638695364995,0.46263644416959215,0.053257035925887444,0.07133573146415068,0.115116,0.462636,0.10843072,B
7629713,2024-03-04 08:32:14,nan,1.3333333333333333,3500.0,independent,577.0,0.3793094486722173,0.6027764641820943,0.36938504925834836,0.3743393260500915,0.45563878230856236,0.4694187538143383,0.6690216561091397,0.17339626950050185,0.5910410334315149,0.7194040220371978,0.21728684908544066,0.48397164640447454,0.10516067409392131,0.17283485301088594,0.217287,0.483972,0.2627092,D
7629715,2024-03-04 08:32:29,7.0,1.2333333333333334,3500.0,franchise,586.0,0.0798205979162765,0.13330173823607802,0.15748157381023864,0.15549789322364496,0.15568222596291512,0.43419350740021656,0.714268920672009,0.0683774768835736,0.262118857168713,0.26242958219497936,0.060331831741086424,0.4021663408790386,0.024263432009842562,0.014637869198207427,0.060332,0.402166,0.14536976000000001,B
7629718,2024-03-04 08:33:34,nan,0.9705882352941176,4000.0,franchise,504.0,0.41543408698074624,0.51431111754607,0.3662291173630558,0.4115259581713398,0.3872682073876465,0.4616394426989582,0.6607557879413206,0.16906580563961243,0.6417268546495529,0.6038997144602313,0.32122625765082513,0.4528060995531341,0.14545320880092022,0.2516281134064635,0.321226,0.452806,0.38247456,Decline
