max g232s__tu,count_approved_gen12,count_total_gen12,prop_approved_gen12,count_approved_gen13,count_total_gen13,prop_approved_gen13
366.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
367.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
368.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
369.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
370.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
371.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
372.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
373.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
374.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
375.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
376.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
377.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
378.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
379.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
380.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
381.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
382.00,10127,21339,0.47457706546698536,10364,21339,0.485683490322883
383.00,10281,21621,0.47550992091022615,10374,21621,0.47981129457471905
384.00,10283,21624,0.47553644099149095,10374,21624,0.4797447280799112
385.00,10286,21629,0.47556521337093716,10374,21629,0.47963382495723333
386.00,10289,21634,0.47559397245077195,10374,21634,0.47952297309790143
387.00,10292,21642,0.47555678772756677,10374,21642,0.479345716662046
388.00,10297,21651,0.4755900420303912,10375,21651,0.47919264699090114
389.00,10300,21660,0.4755309325946445,10378,21660,0.4791320406278855
390.00,10302,21667,0.4754696081598745,10378,21667,0.47897724650389994
391.00,10304,21671,0.47547413594204235,10378,21671,0.47888883761709194
392.00,10306,21676,0.4754567263332718,10379,21676,0.47882450636648827
393.00,10306,21681,0.4753470780868041,10379,21681,0.4787140814538075
394.00,10307,21683,0.47534935202693357,10380,21683,0.4787160448277452
395.00,10309,21690,0.47528815122176116,10380,21690,0.4785615491009682
396.00,10310,21693,0.4752685197990135,10380,21693,0.4784953671691329
397.00,10312,21697,0.47527307922754297,10380,21697,0.47840715306263537
398.00,10312,21701,0.4751854753237178,10380,21701,0.47831897147596886
399.00,10313,21702,0.475209658096028,10380,21702,0.4782969311584186
400.00,10315,21706,0.4752142264811573,10381,21706,0.4782548604072607
401.00,10315,21706,0.4752142264811573,10381,21706,0.4782548604072607
402.00,10316,21709,0.47519461974296373,10382,21709,0.47823483347920215
403.00,10316,21710,0.4751727314601566,10382,21710,0.47821280515891296
404.00,10316,21710,0.4751727314601566,10382,21710,0.47821280515891296
405.00,10316,21710,0.4751727314601566,10382,21710,0.47821280515891296
