feature,bin,min,max,count,prop,target,bin_label
ENG-loan_to_value_binned,1.0342990275627653,0.77687531267473,0.8940861650385376,178,0.0071148772883523,0.1179775280898876,2
ENG-loan_to_value_binned,0.6243896472613216,0.8946856721979117,1.0126953143068598,942,0.0376528899192581,0.167728237791932,3
ENG-loan_to_value_binned,0.2153595363460108,1.0128205128205128,1.1309217704824708,3089,0.1234711008074186,0.2327614114600194,4
ENG-loan_to_value_binned,0.0417811710015797,1.1309614730878188,1.2491331034482758,6422,0.256695179470781,0.2651821862348178,5
ENG-loan_to_value_binned,-0.1034032771581637,1.2491410256410256,1.367298065110565,7435,0.2971860260612359,0.294418291862811,6
ENG-loan_to_value_binned,-0.1190047618472189,1.3673736808442598,1.603363687307369,6823,0.2727236389799344,0.29766964678294,7
ENG-loan_to_value_binned,-0.4178085521266969,1.6038259244426645,1.7079161125319695,22,0.0008793668558637,0.3636363636363636,8
ENG-loan_to_value_binned,-1.2651064125139004,1.7448547263681593,2.148742,7,0.0002797985450475,0.5714285714285714,9
ENG-loan_to_value_binned,-1.3828894481702836,2.388451,2.549193,5,0.0001998561036054,0.6,10
ENG-perfect_payment_hx_binned,-0.0404511398131972,0.0,0.0,18358,0.7337916699976017,0.2815121472927334,1
ENG-perfect_payment_hx_binned,0.1155901730931602,1.0,1.0,6660,0.2662083300023983,0.2510510510510511,2
ENG-perfect_payment_hx_open_binned,-0.0283380951245892,0.0,0.0,20314,0.8119753777280359,0.2790686226247907,1
ENG-perfect_payment_hx_open_binned,0.1268649436993084,1.0,1.0,4704,0.1880246222719641,0.2489370748299319,2
ENG-perfect_payment_hx_closed_binned,-0.0367434173163328,0.0,0.0,20398,0.8153329602686066,0.2807628198843024,1
ENG-perfect_payment_hx_closed_binned,0.1702775588025137,1.0,1.0,4620,0.1846670397313934,0.2409090909090909,2
linkt001__tu_binned,0.4427367774168985,0.0,0.0,2461,0.0983691741945799,0.1946363266964648,1
linkt001__tu_binned,0.100353861703148,1.0,1.0,4584,0.1832280757854344,0.2539267015706806,2
linkt001__tu_binned,-0.0188068640185953,2.0,2.0,4907,0.1961387800783436,0.2771550845730589,3
