feature,description
linka066__tu,Total amount of open (unpaid) non-sufficient funds in the last 3 years
linkf061__tu,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
linkf204__tu,Total Bad ACH amount in last 3 Months
educationattendance__ln,Indicates subject attended college based on student directory information on file
assetproppurchasetimenewest__ln,Time (in months) since most recently recorded real property purchase based on real property ownership records on subject's file
assetpropnewestsaleprice__ln,Subject's most recent real property sale price based on real property ownership records on file
linkf002__tu,Number of NSF within last 12 months
linka001__tu,Number of checking account inquiries in the last 3 months
trv06__tu,Number of months non-mortgage balance increases last 12 months
fi101s__tu,Total balance of all finance installment trades verified in past 12 months
linkf084__tu,Number of inquiries within last 2 months
linkf177__tu,Number of distinct zip codes within last 2 monthss
g235s__tu,Number of trades opened since most recent delinquency (delinquency search limited to 24 months)
ret84__tu,Months since a Retail trade last exceeded 90% utilization
rp03s__tu,Number of repossession trades in past 24 months
rev205__tu,Total Payment Ratio for Revolving accounts over the past 24 months
at103s__tu,Percentage of satisfactory open trades to all open trades verified in 24 months
g403s__tu,Number of deduped mortgage inquiries
rvdex01__tu,Annual year-over-year revolving spend index
linkf037__tu,Number of inquiries within last 3 months ONLINE LENDER
linkf208__tu,Total Bad ACH amount in last 6 Months
std203__tu,Total Payment Ratio for Student Loan accounts over the past 6 months
g221d__tu,Number of credit card trades verified in the past 12 months that are currently 120 days or more past due
sourcenonderogcount03month__ln,Total non-derogatory source types on file for subject reported within the last three months
linka082__tu,Amount of largest open (unpaid) non-sufficient funds (single check)
addrinputdelivery__ln,Indicates the mail delivery status on file for the input address
g405s__tu,Number of deduped finance inquiries in past 6 months
linkf151__tu,Number of distinct cell phones within last 3 months
g414s__tu,Number of deduped auto inquiries in past 12 months
rp05s__tu,Total balance of repossession trades
g201a__tu,Total open to buy of open trades verified in past 3 months (excluding installments and mortgages)
intopenbktype__app,Not in dictionary
alertregulatorycondition__ln,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
subjectactivityindex03month__ln,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
linka029__tu,Number of checking account inquiries in the last 3 years
bankruptcycount__ln,Not in dictionary
addrinputavmvalue12month__ln,Indicates input address AVM value on file 12 months ago
at27s__tu,Number of currently open and satisfactory trades 24 months or older
g099s__tu,Number of public record bankruptcies in past 24 months
addrinputownershipindex__ln,Index indicating subject's ownership level at the input address based on the address property record on file
at20s__tu,Months since oldest trade opened
bitdealertrack__app,Not in dictionary
agg908__tu,Max aggregate bankcard balance over last 12 months
vehiclemake__app,Not in dictionary
sourcenonderogcount__ln,Total non-derogatory source types on file for subject
g095s__tu,Months since most recent public record
