GEN12_Theo_Rev,Actual_Rev,Rev_Diff,bigAccountId,bigDealerId,week_of_month,application_date,dtmFunded,dtmNonAccrual,intterm,open_bk_type,first_pmt_date,paymentsmade,Tier,DebtorState,AmtFinanced,OriginalInterestRate,fltAPRCurrent,MaxFico,intBeaconScore,mnyReserve,mnyDiscount,Early_Pay_Delinquency_15_120,Early_Pay_Delinquency_30_120,Early_Pay_Default_15_120,Early_Pay_Default_30_120,LoanStatus,ChargeOff_Severity,GEN11_ExpectedNetLoss,GEN11_ECNL,GEN12_ExpectedNetLoss,GEN12_ECNL,GEN12_ECNL_mod,DL_ExpectedNetLoss,DL_ECNL,origination_model
30.853402545715685,22.891164583118933,-7.9622379625967525,8010609,4716,4,18-07-2024,29-07-2024,,72,7.0,1/9/2024,,B,OH,21554.86,0.25,0.25,532.0,528.0,1194.48,149,0,0,0,0,A,,1822.377194,0.084546,7291.534931,0.338278,0.143338,,,gen11
30.940794951549023,24.626590150621674,-6.3142048009273495,8015246,6303,4,20-07-2024,29-07-2024,,72,,3/9/2024,,B,MD,20992.85,0.24,0.24,493.0,493.0,499.46,802,0,0,0,0,A,,2157.813066,0.102788,7140.675942,0.340148,0.14413,,,gen11
30.947851771485297,31.095830915646538,0.14797914416124058,8029229,6671,4,26-07-2024,29-07-2024,,72,,10/9/2024,,D,NV,22269.61,0.2779,0.2779,656.0,656.0,724.75,2418,0,0,0,0,A,,3813.581634,0.171246,7578.326013,0.340299,0.144194,,,gen11
31.361072975965687,30.762365454291952,-0.5987075216737345,8007472,8136,4,17-07-2024,29-07-2024,,66,,1/9/2024,,D,AZ,15657.27,0.2924,0.2924,,,464.77,1013,0,0,0,0,A,,2707.141983,0.1729,5466.594905,0.349141,0.147941,,,gen11
31.557308650882355,31.10683529414447,-0.45047335673788425,8030819,2408,4,27-07-2024,29-07-2024,,72,,10/9/2024,,D,MD,21361.76,0.276,0.276,469.0,469.0,695.02,2418,0,0,0,0,A,,3923.300842,0.18366,7547.964278,0.35334,0.14972,,,gen11
32.00151443561274,25.666543829793632,-6.334970605819109,8027462,2408,4,26-07-2024,29-07-2024,,72,,9/9/2024,,B,MD,20770.53,0.2499,0.2499,577.0,577.0,604.8,928,0,0,0,0,A,,2607.096155,0.125519,7536.482958,0.362845,0.153748,,,gen11
32.06362379783333,29.595793533323377,-2.467830264509953,8030438,8009,4,27-07-2024,29-07-2024,,72,,27-08-2024,,C,MD,17722.94,0.24,0.24,576.0,576.0,0.0,2281,0,0,0,0,A,,2559.422934,0.144413,6454.233952,0.364174,0.154311,,,gen11
32.17377561630882,29.957272780305853,-2.21650283600297,7963049,2408,4,27-06-2024,29-07-2024,,72,,2/9/2024,,D,MD,26070.66,0.2824,0.2824,527.0,527.0,854.28,1884,0,0,0,0,A,,4764.387044,0.182749,9555.70508,0.366531,0.15531,,,gen11
32.928434744328435,23.851334324504688,-9.077100419823747,7999553,2493,4,13-07-2024,29-07-2024,,72,,23-08-2024,,B,KS,16740.55,0.2274,0.2274,563.0,563.0,265.1,693,0,0,0,0,A,,1589.548704,0.094952,6406.256933,0.382679,0.162152,,,gen11
32.94824992083824,27.161365224232426,-5.78688469660581,8014061,7275,4,20-07-2024,29-07-2024,,72,7.0,22-08-2024,,B,MI,22650.74,0.25,0.25,532.0,532.0,0.0,1126,0,0,0,0,A,,2884.322581,0.127339,8677.566446,0.383103,0.162332,,,gen11
33.323897064200985,25.009099227830205,-8.31479783637078,8011489,1968,4,19-07-2024,29-07-2024,,66,,3/9/2024,,B,AL,20693.41,0.2324,0.2324,579.0,579.0,0.0,842,0,0,0,0,A,,2149.031322,0.103851,8094.041081,0.391141,0.165738,,,gen11
33.354975112264704,26.172204098436325,-7.182771013828379,8029152,5457,4,26-07-2024,29-07-2024,,72,,10/9/2024,,B,VA,18923.06,0.2404,0.2404,594.0,594.0,0.0,928,0,0,0,0,A,,2196.475266,0.116074,7414.168446,0.391806,0.166019,,,gen11
33.51228144276471,22.76668149209804,-10.74559995066667,8026728,7397,4,25-07-2024,29-07-2024,,72,,9/9/2024,,B,VA,24101.75,0.2524,0.2524,,,1520.06,149,0,0,0,0,A,,2079.595397,0.086284,9524.336751,0.395172,0.167446,,,gen11
34.19749398518628,27.459190407550782,-6.738303577635495,7974447,7208,4,2/7/2024,29-07-2024,,72,,16-08-2024,,C,AZ,18514.78,0.2674,0.2674,499.0,499.0,596.74,903,0,0,0,0,A,,2621.044831,0.141565,7587.986347,0.409834,0.173658,,,gen11
