feature,from_nan,from_df,from_name,sum
bc900s__tu,1,0,0,1
ad01d__tu,1,0,0,1
rt900s__tu,1,0,0,1
ad02b__tu,1,0,0,1
ad02d__tu,1,0,0,1
bitTarget24Months,0,0,1,1
ad13g__tu,1,0,0,1
p02c__tu,1,0,0,1
ad12c__tu,1,0,0,1
p02b__tu,1,0,0,1
ad14h__tu,1,0,0,1
ad12e__tu,1,0,0,1
ad12f__tu,1,0,0,1
ad12g__tu,1,0,0,1
ad12h__tu,1,0,0,1
ad13a__tu,1,0,0,1
ad13b__tu,1,0,0,1
ad13c__tu,1,0,0,1
ad13d__tu,1,0,0,1
ad13e__tu,1,0,0,1
ad13f__tu,1,0,0,1
ad13h__tu,1,0,0,1
ad02e__tu,1,0,0,1
ad14a__tu,1,0,0,1
ad14b__tu,1,0,0,1
ad14c__tu,1,0,0,1
ad14d__tu,1,0,0,1
ad14e__tu,1,0,0,1
ad14f__tu,1,0,0,1
ad14g__tu,1,0,0,1
p02a__tu,1,0,0,1
cc100s__tu,1,0,0,1
ad01c__tu,1,0,0,1
ad01b__tu,1,0,0,1
ad01a__tu,1,0,0,1
tusequencenumber__tu,1,0,0,1
ad01e__tu,1,0,0,1
scr_alt_a_2__tu,1,0,0,1
linkchit__tu,1,0,0,1
bcpmtstr__tu,1,0,0,1
bcpmtnum__tu,1,0,0,1
ad02f__tu,1,0,0,1
ad02g__tu,1,0,0,1
ad02h__tu,1,0,0,1
ad03a__tu,1,0,0,1
ad03b__tu,1,0,0,1
ad03c__tu,1,0,0,1
ad03d__tu,1,0,0,1
ad03e__tu,1,0,0,1
ad03f__tu,1,0,0,1
ad03g__tu,1,0,0,1
ad03h__tu,1,0,0,1
ad04b__tu,1,0,0,1
scr_alt_b_2__tu,1,0,0,1
ad12b__tu,1,0,0,1
ad12d__tu,1,0,0,1
p02d__tu,1,0,0,1
p02e__tu,1,0,0,1
p02f__tu,1,0,0,1
p02g__tu,1,0,0,1
p02h__tu,1,0,0,1
p03a__tu,1,0,0,1
p03b__tu,1,0,0,1
p03c__tu,1,0,0,1
p03d__tu,1,0,0,1
p03e__tu,1,0,0,1
p03f__tu,1,0,0,1
p03g__tu,1,0,0,1
p03h__tu,1,0,0,1
linkahit__tu,1,0,0,1
fltmaintenanceagreement__app,1,0,0,1
linkf213__tu,1,0,0,1
linkf026__tu,1,0,0,1
fltinsuredunemploymentamount__app,0,1,0,1
hr35s__tu,0,1,0,1
hr33s__tu,0,1,0,1
hr25s__tu,0,1,0,1
inputprovidedzipcode__ln,0,1,0,1
inputprovidedcity__ln,0,1,0,1
inputprovidedstreetaddress__ln,0,1,0,1
addrpreviouscorrectional__ln,0,1,0,1
inputprovidedstate__ln,0,1,0,1
