feature,importance,description
sr44s__tu,0.0,
sr46s__tu,0.0,
sr37s__tu,0.0,
sr06s__tu,0.0,
sr07s__tu,0.0,
sr08s__tu,0.0,
sr09s__tu,0.0,
sr10s__tu,0.0,
sr11s__tu,0.0,
sr12s__tu,0.0,
sr13s__tu,0.0,
sr23s__tu,0.0,
sr15s__tu,0.0,
sr16s__tu,0.0,
sr17s__tu,0.0,
sr18s__tu,0.0,
sr19s__tu,0.0,
sr20s__tu,0.0,
sr21s__tu,0.0,
sr22s__tu,0.0,
sr14s__tu,0.0,
sl62s__tu,0.0,
sl63s__tu,0.0,
sl64s__tu,0.0,
sl65s__tu,0.0,
sl66s__tu,0.0,
sl67s__tu,0.0,
sl68s__tu,0.0,
sl69s__tu,0.0,
sd45s__tu,0.0,
sl71s__tu,0.0,
sl72s__tu,0.0,
sl85s__tu,0.0,
sl86s__tu,0.0,
sl87s__tu,0.0,
sl99b__tu,0.0,
sl99s__tu,0.0,
sd01s__tu,0.0,
sl70s__tu,0.0,
sl44s__tu,0.0,
sl45s__tu,0.0,
sl46s__tu,0.0,
sl47s__tu,0.0,
sl48s__tu,0.0,
sl49s__tu,0.0,
sl50s__tu,0.0,
sl51s__tu,0.0,
sl61s__tu,0.0,
sl53s__tu,0.0,
sl54s__tu,0.0,
sl55s__tu,0.0,
sl56s__tu,0.0,
sl57s__tu,0.0,
sl58s__tu,0.0,
sl59s__tu,0.0,
sl60s__tu,0.0,
sl52s__tu,0.0,
sd23s__tu,0.0,
sd24s__tu,0.0,
sd25s__tu,0.0,
sd26s__tu,0.0,
sd27s__tu,0.0,
sd28s__tu,0.0,
sd29s__tu,0.0,
sd35s__tu,0.0,
sd03s__tu,0.0,
sd37s__tu,0.0,
sd38s__tu,0.0,
sd39s__tu,0.0,
sd40s__tu,0.0,
sd41s__tu,0.0,
sd42s__tu,0.0,
sd43s__tu,0.0,
sd44s__tu,0.0,
sd36s__tu,0.0,
sd04s__tu,0.0,
sd05s__tu,0.0,
sd06s__tu,0.0,
sd07s__tu,0.0,
sd08s__tu,0.0,
sd09s__tu,0.0,
sd10s__tu,0.0,
sd11s__tu,0.0,
sd22s__tu,0.0,
sd13s__tu,0.0,
sd14s__tu,0.0,
sd15s__tu,0.0,
sd16s__tu,0.0,
