accountid,request_datetime,pd_gen12,lgd_gen12,ecnl_gen12,pd_gen13,lgd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,miles_odometer__app,ENG-bk,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8436572,2025-01-04 04:58:23+00:00,0.06682633874874522,0.6128374462806273,0.09665069136803375,0.30770869934827594,0.39004257415648635,0.2651182596640509,,1.2857740458015268,Franchise,6848.59,84907,0,A,C,1,1,0,0,1,0,0,0
8562152,2025-01-14 22:30:16+00:00,0.07321862265094538,0.5608882714749921,0.09691922140838555,0.1723942876926298,0.3372811670434425,0.1284407447031445,,1.0445973847212664,Franchise,9570.59,28417,0,A,A,1,1,0,0,1,0,0,0
8509271,2024-12-20 06:22:16+00:00,0.06163167476577756,0.6690218648827123,0.09730973365084292,0.22854676300681542,0.31672530923551634,0.1598989806497672,7.0,1.27,Franchise,5800.0,0,1,A,B,1,1,0,0,1,0,0,0
8393041,2025-01-17 04:43:41+00:00,0.05972344251456009,0.6905324562864089,0.097328702079604,0.1941219525217622,0.2596410016840132,0.11133604212662135,13.0,1.0506184738955824,Franchise,5039.75,28170,1,A,A,1,1,0,0,1,0,0,0
8548069,2025-01-08 00:25:10+00:00,0.06939633818856934,0.5953663028908709,0.09750632947152367,0.08053315078301874,0.19939686644815996,0.03547160760381399,,0.5898433654634947,Franchise,4500.0,20403,0,A,A1,1,1,0,0,1,0,0,0
8475320,2024-12-10 22:48:00+00:00,0.06801654357027935,0.607986181579337,0.09759335991846424,0.2710168793194916,0.31672530923551634,0.1896124984311215,7.0,1.27,Franchise,7668.13,0,1,A,B,1,1,0,0,1,0,0,0
8523820,2025-01-06 23:30:34+00:00,0.07242758540821796,0.5717153397822715,0.09772278937899441,0.21883266740753465,0.3372811670434425,0.1630392233025301,,1.095071111111111,Independent,6562.68,33312,0,A,B,1,1,0,0,1,0,0,0
8475882,2024-12-10 07:28:35+00:00,0.07863827042751545,0.5277360815622041,0.09794059636314045,0.3766437836099109,0.3501845945669622,0.3744600326106665,,1.1413301088270857,Franchise,7325.0,63891,0,A,Decline,1,0,0,1,0,0,1,0
8464216,2024-12-05 06:38:42+00:00,0.07141786600862066,0.583297295280682,0.09831252146300994,0.08457532508133728,0.19939686644815996,0.037252022491125344,,0.8195391705069125,Franchise,4166.67,21320,0,A,A1,1,1,0,0,1,0,0,0
8552461,2025-01-10 02:56:42+00:00,0.07335423087179009,0.5681333774810684,0.09835296917301013,0.1184288566356557,0.3501845945669622,0.0916099032930372,,1.1477402202810483,Franchise,13333.33,46477,0,A,A,1,1,0,0,1,0,0,0
