accountid,pd_gen12,ecnl_gen12,pd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8438716,0.28584020559103673,0.40641086313784713,0.3146569912142762,0.6778736608767074,,1.157342957806995,Franchise,4250.0,Decline,Decline,0,0,1,1,0,1,0,0
8438717,0.14820359440015046,0.21779750592582214,0.18984161062916363,0.3423550111302144,7.0,1.1390196506550219,Franchise,5838.0,B,D,1,1,0,0,1,0,0,0
8438720,0.10038139702159664,0.14261824538669735,0.05568623002998477,0.046700785234442155,,0.7918251348079673,Franchise,5373.33,B,A1,1,1,0,0,1,0,0,0
8438724,0.17428219837823627,0.2250897366363835,0.06296265548902577,0.06805279345648363,,0.9643076923076923,Franchise,6333.33,B,A1,1,1,0,0,1,0,0,0
8438726,0.3464551726351321,0.594754966570757,0.2841192989248676,0.5869231029820333,,1.397995444191344,Franchise,3980.0,Decline,Decline,0,0,1,1,0,1,0,0
8438748,0.5016571526136108,0.8279296274181277,0.40878391157353394,0.8839431607385733,,1.2189973614775726,Independent,4000.0,Decline,Decline,0,0,1,1,0,1,0,0
8438751,0.3349001469627436,0.519235737851361,0.2557876060718337,0.5057967363741879,,1.1893333333333334,Franchise,5416.0,Decline,Decline,0,0,1,1,0,1,0,0
8438766,0.47968285901292873,0.779390798594369,0.40776001874187173,0.8814785681607344,,1.1479460269865067,Independent,9050.0,Decline,Decline,0,0,1,1,0,1,0,0
8438769,0.43599100700893123,0.7071259543972764,0.4143628730855405,0.9009577338034374,,1.1388177339901477,Franchise,4080.0,Decline,Decline,0,0,1,1,0,1,0,0
8438773,0.294376950588598,0.4899415189335928,0.22940323572424132,0.4400767362778932,,1.0481060606060606,Franchise,4680.0,Decline,Decline,0,0,1,1,0,1,0,0
8438778,0.4100949505906416,0.6983989283883468,0.1718273252647241,0.30508373342632605,,1.101095890410959,Franchise,3500.0,Decline,C,0,1,1,0,0,0,0,1
8438785,0.34085310850964345,0.5188388631023816,0.326383144640237,0.7152212915276782,,1.2996491228070175,Franchise,9278.0,Decline,Decline,0,0,1,1,0,1,0,0
8438809,0.34621444904583953,0.5562534649735473,0.4087132931014969,0.8837731763840991,,1.188626198083067,Independent,4333.0,Decline,Decline,0,0,1,1,0,1,0,0
8438825,0.36839407421873616,0.5742961579724624,0.22725577296539434,0.43636854952762305,,1.1786281941557648,Franchise,4224.0,Decline,Decline,0,0,1,1,0,1,0,0
8438854,0.3624086525519884,0.5791931103865249,0.1609113885500265,0.2738701979846067,,0.9974415744157441,Franchise,9286.0,Decline,C,0,1,1,0,0,0,0,1
8438856,0.26805292487776433,0.4338311029011094,0.24368333193684028,0.4738516039017972,,1.3735476982980594,Independent,7000.0,Decline,Decline,0,0,1,1,0,1,0,0
8438857,0.2234782534957965,0.38032135510338816,0.23449890995687703,0.4558809637402656,,1.2224367816091954,Independent,6500.0,Decline,Decline,0,0,1,1,0,1,0,0
8438861,0.2468828665644904,0.36756088809081977,0.2214180895044883,0.4148191267499239,,1.0448979591836736,Independent,7070.0,Decline,Decline,0,0,1,1,0,1,0,0
8438913,0.4043021200522858,0.6427821807176478,0.17236054603778528,0.3057809138263019,,0.9811869196608801,Franchise,8400.0,Decline,C,0,1,1,0,0,0,0,1
8438924,0.2566067293932039,0.40846967068492834,0.1607998915994711,0.27346939519611574,,1.2477350993377483,Franchise,4697.0,Decline,C,0,1,1,0,0,0,0,1
