eval_metric,iterations,prop_early_stopping,learning_rate,class_weights,monotone_constraints,train_score,valid_score,test_score,train_mean,valid_mean,test_mean
Logloss,1000,0.05,0.3942,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19779439027633794,0.19093031395609092,0.20856083266767853,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4042,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.2067532828039835,0.19560363561417635,0.2135314696795564,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4143,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.2008693141330967,0.19113214228376024,0.20941846063820332,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4244,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19699463323305727,0.18941820528388137,0.2077988565899141,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4345,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19503625294023888,0.18819036762340544,0.20753576889383843,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4446,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.2046831247105488,0.19439101543713935,0.21164499369676773,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4546,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19996852727736578,0.19137999324250324,0.20938364466409087,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4647,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.20053346219902402,0.19173610510551575,0.2095386031211103,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4748,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19390166180476318,0.1898796945062779,0.20952285875682633,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.4849,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19901295695036852,0.18941621862104502,0.2077921398108872,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.495,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.2016779188267987,0.1942294534612828,0.21090862250420234,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.505,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19836535958858628,0.18977698228504203,0.20752697626054,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5151,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19823505797358773,0.1909498883805951,0.209449440063795,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5252,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19994463843820612,0.1907268541503633,0.20916240177808937,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5353,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19923631217017235,0.19262900021633914,0.20937868992677774,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5454,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19889224939218292,0.19269827330415779,0.2091684851487986,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5554,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19881677563625058,0.19268571775951354,0.2091454104809267,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5655,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19229322624359405,0.18912526674121322,0.20831753072743225,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5756,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19266814671270147,0.18920952173983294,0.20862721003627127,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5857,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.20020980554895948,0.1938767670298006,0.21121328454777527,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.5958,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.20012030558077554,0.1937894169849233,0.21112538681052412,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.6058,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19978323806571813,0.19051600112346734,0.2092432910231273,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.6159,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19971280421546175,0.19043188126672694,0.20916576164490489,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.626,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.199647873422918,0.19035449558899567,0.20909540554911243,0.033302000805693566,0.029810662011548274,0.0416006445548543
Logloss,1000,0.05,0.6361,"[0.8882735710331976, 4.243220008596818]","{'fltgrossmonthly__income_sum': -1, 'fltapproveddowntotal__app': -1, 'fltdowncash__app': -1, 'ENG-loan_to_value': 1, 'ENG-vehicle_age': 1, 'fltadvance__app': 1}",0.19958737874316465,0.19028273817076097,0.20903125395371686,0.033302000805693566,0.029810662011548274,0.0416006445548543
