feature,flt_eval_metric_train,flt_eval_metric_valid,flt_score_to_beat,performance,helped
st101s__tu,0.2387545012885727,0.2720066151559801,0.2714084392216933,-0.0005981759342868,0
of01s__tu,0.2396132360503525,0.272005981958979,0.2714084392216933,-0.0005975427372857,0
g206s__tu,0.237787667954113,0.271999473814652,0.2714084392216933,-0.0005910345929587,0
au51a__tu,0.2294177327407328,0.2719981542035223,0.2714084392216933,-0.000589714981829,0
ret326__tu,0.2421388813660001,0.2719974698518979,0.2714084392216933,-0.0005890306302046,0
lienjudgmentcount12month__ln,0.2421469984918632,0.2719870287610303,0.2714084392216933,-0.000578589539337,0
rev315__tu,0.2365084640650599,0.2719799267919137,0.2714084392216933,-0.0005714875702204,0
trv07__tu,0.2373849817349541,0.2719789265003574,0.2714084392216933,-0.0005704872786641,0
subjectstabilityindex__ln,0.2381339055300575,0.2719780691731365,0.2714084392216933,-0.0005696299514432,0
aut222__tu,0.237235203476039,0.2719758970863454,0.2714084392216933,-0.0005674578646521,0
linka004__tu,0.2324930160825235,0.2719752375993497,0.2714084392216933,-0.0005667983776564,0
jt51s__tu,0.2403992087668897,0.2719728007297023,0.2714084392216933,-0.000564361508009,0
br01s__tu,0.2359462780949636,0.2719717385701229,0.2714084392216933,-0.0005632993484296,0
bankruptcydismissed24month__ln,0.2366552404816261,0.271970459700375,0.2714084392216933,-0.0005620204786817,0
criminalnonfelonycount__ln,0.2332496237033673,0.2719670453717295,0.2714084392216933,-0.0005586061500362,0
linka047__tu,0.2377432708438677,0.2719655118230994,0.2714084392216933,-0.0005570726014061,0
linkf053__tu,0.2353171850019192,0.2719595460865811,0.2714084392216933,-0.0005511068648878,0
addrinputownershipindex__ln,0.23623983293817,0.2719510738401557,0.2714084392216933,-0.0005426346184624,0
addrinputavmvalue__ln,0.2365549767719777,0.2719507821107877,0.2714084392216933,-0.0005423428890944,0
linka005__tu,0.2337675467533826,0.2719473811283686,0.2714084392216933,-0.0005389419066753,0
g094s__tu,0.2371832267436485,0.271947345431797,0.2714084392216933,-0.0005389062101037,0
fltapprovedpricewholesale__app,0.2368293080502723,0.2719450105692877,0.2714084392216933,-0.0005365713475944,0
subjectrecordtimeoldest__ln,0.2331049199296005,0.2719448476189094,0.2714084392216933,-0.0005364083972161,0
linkf156__tu,0.2398612498250572,0.2719445492227675,0.2714084392216933,-0.0005361100010742,0
strdealershiptrackertype__app,0.2373428502555046,0.2719380901511872,0.2714084392216933,-0.0005296509294939,0
linka014__tu,0.2395084055095814,0.2719367308353266,0.2714084392216933,-0.0005282916136333,0
s207s__tu,0.2322881053828585,0.2719279261363165,0.2714084392216933,-0.0005194869146232,0
linkt004__tu,0.2377890284745386,0.271924997121815,0.2714084392216933,-0.0005165579001217,0
addrinputdwelltypeindex__ln,0.2338239990309057,0.2719244544219976,0.2714084392216933,-0.0005160152003043,0
s114s__tu,0.2398180208474941,0.2719221781615497,0.2714084392216933,-0.0005137389398564,0
g238s__tu,0.2324978492138702,0.2719220252993367,0.2714084392216933,-0.0005135860776434,0
assetpropindex__ln,0.2363763220079147,0.271920447166522,0.2714084392216933,-0.0005120079448286,0
jt41s__tu,0.2392563000859065,0.2719128633733465,0.2714084392216933,-0.0005044241516532,0
g206b__tu,0.2355412967151808,0.2719041907320506,0.2714084392216933,-0.0004957515103573,0
addrinputcountyratio__ln,0.2308056122058947,0.2718977349833039,0.2714084392216933,-0.0004892957616106,0
linkf036__tu,0.2314457823825918,0.2718943532919958,0.2714084392216933,-0.0004859140703025,0
aut232__tu,0.2306063338318363,0.2718939777762316,0.2714084392216933,-0.0004855385545383,0
