feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero,mean_target_25,mean_target_50,mean_target_75,description,auto_flag
agg824__tu,float64,0.003486936,-6,68080,68086,297.9915399,33.44402407,-1,-2,4335,0.002070821,0.789002247,0.047061369,4.78E-07,0.076108271,0.317191835,0.337199305,0.337199305,Aggregate bankcard actual payment for month 24,0
agg823__tu,float64,0.003486936,-6,106957,106963,312.3123996,33.93741201,-1,-2,4420,0.002111425,0.788071213,0.047061369,4.78E-07,0.077065578,0.31707744,0.33715639,0.33715639,Aggregate bankcard actual payment for month 23,0
agg822__tu,float64,0.003486936,-6,91139,91145,318.5714214,34.30273917,-1,-2,4393,0.002098527,0.786105009,0.047061369,4.78E-07,0.07883736,0.317152876,0.337250419,0.337250419,Aggregate bankcard actual payment for month 22,0
agg821__tu,float64,0.003486936,-6,123723,123729,328.5243084,34.23974036,-1,-2,4440,0.002120979,0.785466326,0.047061369,4.78E-07,0.078570804,0.31701564,0.337187111,0.337187111,Aggregate bankcard actual payment for month 21,0
agg820__tu,float64,0.003486936,-6,96248,96254,322.3720129,33.97485064,-1,-2,4353,0.002079419,0.784615546,0.047061369,4.78E-07,0.079835748,0.316508161,0.336914678,0.336914678,Aggregate bankcard actual payment for month 20,0
agg819__tu,float64,0.003486936,-6,100461,100467,323.7915805,35.05467826,-1,-2,4404,0.002103782,0.782816536,0.047061369,4.78E-07,0.080897193,0.31638692,0.33689138,0.33689138,Aggregate bankcard actual payment for month 19,0
agg818__tu,float64,0.003486936,-6,140141,140147,338.0839996,34.94846403,-1,-2,4400,0.002101871,0.78259154,0.047061369,4.78E-07,0.080099438,0.316218217,0.336799621,0.336799621,Aggregate bankcard actual payment for month 18,0
agg817__tu,float64,0.003486936,-6,104466,104472,309.9383879,34.36218104,-1,-2,4380,0.002092317,0.78106004,0.047061369,4.78E-07,0.082610696,0.316053997,0.336745054,0.336745054,Aggregate bankcard actual payment for month 17,0
agg816__tu,float64,0.003486936,-6,88500,88506,305.3252412,35.17841398,-1,-2,4413,0.002108081,0.779354181,0.047061369,4.78E-07,0.083493482,0.315881541,0.336690819,0.336690819,Aggregate bankcard actual payment for month 16,0
agg815__tu,float64,0.003486936,-6,99445,99451,299.3469495,34.37222034,-1,-2,4382,0.002093272,0.778939062,0.047061369,4.78E-07,0.083161004,0.315574842,0.336524981,0.336524981,Aggregate bankcard actual payment for month 15,0
agg814__tu,float64,0.003486936,-6,58873,58879,300.9885076,34.52246064,-1,-2,4309,0.0020584,0.777238457,0.047061369,4.78E-07,0.084910811,0.315179416,0.336343075,0.336343075,Aggregate bankcard actual payment for month 14,0
agg813__tu,float64,0.003486936,-6,76561,76567,303.5798542,35.29191405,-1,-2,4395,0.002099483,0.775752338,0.047061369,4.78E-07,0.085644555,0.314846995,0.336192431,0.336192431,Aggregate bankcard actual payment for month 13,0
agg812__tu,float64,0.003486936,-6,63823,63829,300.7039736,34.78760689,-1,-2,4371,0.002088018,0.774720511,0.047061369,4.78E-07,0.085617804,0.314574486,0.336064285,0.336064285,Aggregate bankcard actual payment for month 12,0
agg811__tu,float64,0.003486936,-6,89603,89609,311.6025767,34.72581141,-1,-2,4315,0.002061267,0.772785834,0.047061369,4.78E-07,0.087831457,0.313832958,0.335692814,0.335692814,Aggregate bankcard actual payment for month 11,0
agg708__tu,float64,0.003486936,-6,227843,227849,1380.126567,214.0800894,-1,-1,14580,0.006964836,0.654724218,0.047061369,4.78E-07,0.216890635,0.320394341,0.342893019,0.320389233,Aggregate bankcard amount past due for month 8,0
agg706__tu,float64,0.003486936,-6,185395,185401,1444.861203,231.6095818,-1,-1,15084,0.007205596,0.641510615,0.047061369,4.78E-07,0.222998004,0.319293872,0.342821357,0.320254468,Aggregate bankcard amount past due for month 6,0
agg505__tu,float64,0.003486936,-6,297621,297627,4094.349056,1123.816385,-1,-1,31753,0.015168343,0.63138103,0.047061369,4.78E-07,0.018746301,0.318618978,0.342876231,0.338539352,Aggregate bankcard balances for month 5,0
agg517__tu,float64,0.003486936,-6,309612,309618,3648.780334,917.5836772,-1,-1,29317,0.014004671,0.702176344,0.047061369,4.78E-07,0.016798726,0.322734995,0.342614583,0.339300859,Aggregate bankcard balances for month 17,0
agg603__tu,float64,0.003486936,-6,326200,326206,4924.443965,1085.673636,-1,-2,9752,0.00465851,0.715699496,0.047061369,4.78E-07,0.000102227,0.321816612,0.341743502,0.341360944,Aggregate bankcard credit line for month 3,0
agg602__tu,float64,0.003486936,-6,340100,340106,4905.143929,1088.166099,-1,-2,9777,0.004670453,0.707945025,0.047061369,4.78E-07,0.000102227,0.321242208,0.341654785,0.341333544,Aggregate bankcard credit line for month 2,0
agg601__tu,float64,0.003486936,-6,366220,366226,4940.452702,1117.649438,-1,-1,9935,0.004745929,0.693667588,0.047061369,4.78E-07,0.000102227,0.321573227,0.342248667,0.342057843,Aggregate bankcard credit line for month 1,0
agg524__tu,float64,0.003486936,-6,634436,634442,3450.049627,822.4198091,-1,-2,28061,0.013404682,0.730591729,0.047061369,4.78E-07,0.016180107,0.322930875,0.341948907,0.340297234,Aggregate bankcard balances for month 24,0
agg523__tu,float64,0.003486936,-6,244552,244558,3448.896188,835.2545285,-1,-2,28194,0.013468216,0.726695147,0.047061369,4.78E-07,0.01632485,0.323070594,0.342127233,0.34001233,Aggregate bankcard balances for month 23,0
agg522__tu,float64,0.003486936,-6,316819,316825,3479.114388,848.2211378,-1,-2,28448,0.013589551,0.722821972,0.047061369,4.78E-07,0.01624173,0.323157399,0.34227657,0.340047384,Aggregate bankcard balances for month 22,0
agg521__tu,float64,0.003486936,-6,495129,495135,3540.912423,862.9516579,-1,-2,28630,0.013676492,0.718708515,0.047061369,4.78E-07,0.016489178,0.323170545,0.342393114,0.339922733,Aggregate bankcard balances for month 21,0
