,No,Yes,description
sl44s__tu,83.29324546952225,71.9090909090909,
sl45s__tu,157.34266886326193,142.12050739957718,
sl37s__tu,3.481054365733114,3.496828752642706,
p03a__tu,0.08500772797527048,0.12390350877192982,
p03b__tu,0.19088098918083463,0.2730263157894737,
p03c__tu,0.3562596599690881,0.5175438596491229,
p03d__tu,0.49845440494590415,0.7192982456140351,
p03e__tu,0.6468315301391035,0.9078947368421053,
p03f__tu,0.768160741885626,1.055921052631579,
p03g__tu,0.9003091190108191,1.2401315789473684,
p03h__tu,1.0247295208655331,1.4089912280701755,
sl64s__tu,33.281837160751564,15.598522167487685,
sc02s__tu,0.33587786259541985,1.0116429495472186,
sc03s__tu,1.0232558139534884,1.1950078003120126,
sc06s__tu,0.06870229007633588,0.21733505821474774,
sc09s__tu,0.3435114503816794,0.6455368693402329,
sc12s__tu,1.0,1.2099533437013996,
sc20s__tu,53.89312977099237,35.91849935316947,
sc21s__tu,49.152671755725194,25.474773609314358,
sc24s__tu,1.027027027027027,1.1379928315412187,
sc01s__tu,0.10990712074303406,1.2707423580786026,
sl65s__tu,47189.202505219204,36970.093596059116,
lrev315__tu,12.357870894677237,8.82748538011696,
lrev202__tu,4.196790352504639,4.452359813084112,
lqr202q2__tu,33.89449541284404,36.69398907103825,
lqr202q3__tu,38.232804232804234,34.705882352941174,
lqr202yr__tu,40.53977272727273,44.00952380952381,
lrev222__tu,4.164990723562152,4.267079439252337,
lqr222q2__tu,34.23364485981308,37.45026178010471,
p02h__tu,3.2689335394126737,4.5230263157894735,
lqr222yr__tu,41.112994350282484,47.640776699029125,
p02a__tu,0.2758887171561051,0.3969298245614035,
p02b__tu,0.49845440494590415,0.7401315789473685,
p02c__tu,0.9304482225656878,1.3574561403508771,
p02d__tu,1.3686244204018547,1.9967105263157894,
p02e__tu,1.830757341576507,2.593201754385965,
p02f__tu,2.276661514683153,3.2094298245614037,
p02g__tu,2.7743431221020094,3.883771929824561,
lqr222q3__tu,39.125,35.967532467532465,
sc106s__tu,0.32061068702290074,0.2858990944372574,
sc107s__tu,1.0381679389312977,0.815006468305304,
sc108s__tu,6.793893129770993,2.7063389391979302,
sc109s__tu,0.21951219512195122,0.09153952843273232,
sc110s__tu,61.146341463414636,42.560332871012484,
scg218d__tu,0.32926829268292684,0.18232044198895028,
scg219d__tu,0.32926829268292684,0.16574585635359115,
scg220d__tu,0.3048780487804878,0.1574585635359116,
