bigAccountId,DQ15_2
1346106,0
1346143,0
1346153,0
1346168,0
1346187,0
1346188,0
1346260,0
1346265,0
1346267,1
1346293,0
1346296,0
1346316,0
1346351,0
1346363,0
1346365,0
1346410,0
1346413,0
1346469,0
1346504,0
1346518,0
1346549,0
1346575,0
1346581,0
1346590,0
1346591,0
1346600,0
1346648,0
1346651,0
1346679,1
1346684,0
1346688,0
1346711,0
1346727,0
1346736,0
1346743,0
1346749,0
1346783,0
1346796,0
1346798,0
1346824,0
1346844,0
1346853,0
1346860,0
1346863,1
1346868,0
1346912,0
1346933,0
1346971,0
1346994,0
1347021,0
1347027,0
1347034,0
1347045,0
1347061,0
1347065,0
1347066,0
1347068,0
1347118,0
1347127,0
1347133,0
1347146,0
1347171,0
1347173,0
1347209,0
1347212,0
1347233,0
1347259,0
1347282,0
1347287,0
1347288,0
1347321,0
1347322,0
1347326,0
1347334,0
1347336,0
1347347,0
1347366,0
1347390,0
1347399,0
1347401,0
1347404,1
1347405,0
1347417,0
1347427,0
1347435,0
1347443,0
1347467,0
1347487,0
1347498,0
1347519,0
1347524,0
1347525,0
1347542,0
1347543,0
1347576,0
1347589,0
1347614,0
1347636,0
1347671,0
1347676,0
1347695,0
1347707,0
1347712,0
1347735,0
1347737,0
1347762,0
1347768,0
1347773,0
1347774,0
1347779,0
1347808,0
1347831,0
1347847,0
1347855,0
1347868,0
1347889,0
1347891,0
1347901,0
1347911,1
1347912,0
1347967,0
1347970,0
1347972,0
1347976,0
1348019,0
1348032,1
1348037,0
1348053,0
1348063,0
1348072,0
1348093,0
1348100,0
1348111,0
1348115,0
1348118,0
1348121,0
1348122,0
1348123,0
1348132,0
1348134,0
1348195,0
1348196,0
1348200,0
1348216,0
1348218,0
1348232,0
1348240,0
1348256,0
1348259,0
1348273,0
1348277,0
1348289,0
1348298,0
1348314,0
1348360,0
1348373,0
1348387,0
1348424,0
1348449,0
1348466,0
1348467,0
1348476,0
1348504,0
1348564,0
1348644,0
1348667,0
1348668,0
1348670,0
1348672,0
1348697,0
1348735,1
1348795,0
1348830,0
1348847,0
1348864,0
1348865,0
1348886,0
1348892,0
1348894,0
1348904,0
1348918,0
1348928,0
1348939,0
1348946,0
1348956,0
1348978,0
1348991,0
1349014,0
1349018,0
1349020,0
1349043,0
1349108,0
1349109,1
1349123,0
1349127,0
1349142,0
1349144,1
1349153,0
1349163,0
1349165,0
1349169,0
1349188,0
1349232,0
1349317,0
1349358,0
1349363,0
1349390,0
1349407,0
1349418,0
1349420,0
1349453,0
1349454,0
1349465,0
1349472,0
1349516,0
1349522,0
1349525,0
1349526,0
1349547,0
1349593,0
1349603,0
1349614,0
1349624,0
1349631,0
1349734,0
1349740,0
1349746,0
1349763,0
1349769,0
1349791,0
1349805,0
1349837,0
1349855,0
1349870,0
1349892,1
1349923,0
1349932,0
1349968,0
1349971,0
1349972,0
1349984,0
1349990,0
1349993,0
1350011,0
1350014,0
1350016,0
1350023,0
1350063,0
1350074,0
1350114,0
1350137,0
1350146,0
1350157,0
1350172,0
1350202,0
1350205,0
1350248,0
1350265,0
1350276,0
1350279,0
1350280,0
1350295,0
1350298,0
1350318,0
1350333,0
1350368,0
1350373,0
1350374,0
1350381,0
1350404,0
1350413,0
1350439,0
1350477,0
1350485,0
1350513,0
1350537,0
1350542,0
1350551,0
1350571,0
1350576,0
1350578,0
1350594,0
1350601,0
1350612,0
1350616,0
1350629,0
1350648,0
1350658,0
1350667,0
1350679,0
1350704,0
1350707,0
1350716,0
1350721,0
1350752,0
1350769,0
1350773,0
1350785,0
1350792,0
1350814,0
1350832,0
1350858,0
1350886,0
1350898,0
1350926,0
1350927,0
1350928,0
1350931,0
1350939,0
1350967,1
1350985,0
1350995,0
1351001,0
1351004,0
1351034,0
1351047,0
1351056,0
1351068,0
1351094,0
1351123,0
