feature,propna
linkf075__tu,0.36032252173790896
linkf076__tu,0.36032252173790896
linkf077__tu,0.36032252173790896
linkf078__tu,0.36032252173790896
linkf079__tu,0.36032252173790896
linkf082__tu,0.36032252173790896
linkf084__tu,0.36032252173790896
linkf085__tu,0.36032252173790896
linkf086__tu,0.36032252173790896
linkf093__tu,0.36032252173790896
linkf087__tu,0.36032252173790896
linkf088__tu,0.36032252173790896
linkf089__tu,0.36032252173790896
linkf090__tu,0.36032252173790896
linkf091__tu,0.36032252173790896
linkf092__tu,0.36032252173790896
linkf072__tu,0.36032252173790896
rvlr16__tu,0.2585933220019947
rvlr15__tu,0.16496930705586538
rvlr19__tu,0.12867156442708846
linka033__tu,0.1247383725013696
linka006__tu,0.1247383725013696
linka003__tu,0.1247383725013696
linka025__tu,0.1247383725013696
linka011__tu,0.1247383725013696
linka005__tu,0.1247383725013696
linka010__tu,0.1247383725013696
linka040__tu,0.1247383725013696
linka034__tu,0.1247383725013696
linka021__tu,0.1247383725013696
linka035__tu,0.1247383725013696
linka039__tu,0.1247383725013696
linka036__tu,0.1247383725013696
linka007__tu,0.1247383725013696
linka037__tu,0.1247383725013696
linka008__tu,0.1247383725013696
linka009__tu,0.1247383725013696
linka020__tu,0.1247383725013696
linka049__tu,0.1247383725013696
linka028__tu,0.1247383725013696
linka027__tu,0.1247383725013696
linka043__tu,0.1247383725013696
linka004__tu,0.1247383725013696
linka002__tu,0.1247383725013696
linka023__tu,0.1247383725013696
linka024__tu,0.1247383725013696
linka048__tu,0.1247383725013696
linka001__tu,0.1247383725013696
linka050__tu,0.1247383725013696
linka051__tu,0.1247383725013696
linka052__tu,0.1247383725013696
linka029__tu,0.1247383725013696
linka030__tu,0.1247383725013696
linka053__tu,0.1247383725013696
linka022__tu,0.1247383725013696
linka026__tu,0.1247383725013696
linka042__tu,0.1247383725013696
linka058__tu,0.1247383725013696
linka044__tu,0.1247383725013696
linka063__tu,0.1247383725013696
linka065__tu,0.1247383725013696
linka066__tu,0.1247383725013696
linka082__tu,0.1247383725013696
linka067__tu,0.1247383725013696
linka068__tu,0.1247383725013696
linka070__tu,0.1247383725013696
