feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
br20s__tu,float64,0.0008110648583322143,-5.0,670.0,675.0,69.58425369445575,58.8122500322539,39.0,-1.0,551,0.002961983399991399,0.3501429923020685,2.6878252268524493e-05,5.375650453704898e-06,0.00132778566206511
bi30s__tu,float64,0.0008110648583322143,-5.0,100.0,105.0,30.646530053848227,8.649803251193394,-1.0,-1.0,41,0.00022040166860190082,0.8863587494086784,1.0751300907409796e-05,0.09862705887412376,0.010100847202511504
br12s__tu,float64,0.0008110648583322143,-4.0,25.0,29.0,2.039783850681173,-1.244699608652647,-1.0,-3.0,23,0.00012363996043521266,0.757068980346622,0.031237904786479163,5.375650453704898e-06,0.013320861824280737
br09s__tu,float64,0.0008110648583322143,-5.0,18.0,23.0,1.3908195857785346,0.02592138648776502,0.0,0.0,19,0.00010213735862039307,0.3501429923020685,2.6878252268524493e-05,1.0751300907409796e-05,0.3663989592740722
br06s__tu,float64,0.0008110648583322143,-5.0,11.0,16.0,0.944065251567623,-0.32800068808325805,0.0,0.0,14,7.525910635186857e-05,0.3501429923020685,2.6878252268524493e-05,5.375650453704898e-06,0.5578957553864018
br03s__tu,float64,0.0008110648583322143,-4.0,25.0,29.0,1.8973611710688567,-1.3608674149572098,-1.0,-3.0,24,0.00012901561088891756,0.768691136627532,0.031237904786479163,5.375650453704898e-06,0.04428460843762095
br02s__tu,float64,0.0008110648583322143,-4.0,25.0,29.0,1.4513841526021096,-0.0017685889992689115,0.0,0.0,22,0.00011826430998150777,0.35011611404980003,0.031237904786479163,5.375650453704898e-06,0.40709800885907194
br01s__tu,float64,0.0008110648583322143,-4.0,52.0,56.0,3.1664750699410518,2.1515664645422095,1.0,0.0,43,0.00023115296950931063,0.031237904786479163,0.031237904786479163,5.375650453704898e-06,0.3190233518255709
bi101s__tu,float64,0.0008110648583322143,-5.0,1726740.0,1726745.0,15986.045607313132,3648.0138315486174,-1.0,-1.0,16903,0.0908646196189739,0.8039285253515676,0.0004891841912871458,5.375650453704898e-06,0.05071388638025201
bi57s__tu,float64,0.0008110648583322143,-5.0,28765.0,28770.0,299.67979759676894,21.272497097148754,-1.0,-1.0,1585,0.008520405969122263,0.8863910033114006,4.3005203629639184e-05,1.0751300907409796e-05,0.09441254891841913
