feature,bin,min,max,count,prop,target,bin_label
linkt002__tu_binned,0.4669389463134219,102.0,999.0,1433,0.0572787592933088,0.371946964410328,7
linkt003__tu_binned,0.0689124321354637,0.0,0.0,18539,0.7410264609481173,0.46857975079562,1
linkt003__tu_binned,-0.1824628326067655,1.0,1.0,5153,0.2059717003757294,0.5313409664273239,2
linkt003__tu_binned,-0.2536446870910988,2.0,5.0,1326,0.0530018386761531,0.5490196078431373,3
linkt004__tu_binned,0.18583250352374,0.0,0.0,9206,0.36797505795827,0.43960460569194,1
linkt004__tu_binned,-0.008879660566835,1.0,1.0,7035,0.2811975377728036,0.4879886282871357,2
linkt004__tu_binned,-0.1640436151422238,2.0,2.0,4467,0.178551442961068,0.5267517349451534,3
linkt004__tu_binned,-0.2103669397868617,3.0,13.0,4310,0.1722759613078583,0.5382830626450116,4
linkt006__tu_binned,-0.111161342704841,0.0,0.0,16933,0.6768326804700615,0.5135534164058347,1
linkt006__tu_binned,0.2347892555468985,1.0,9.0,8085,0.3231673195299384,0.4275819418676561,2
linkt007__tu_binned,-0.1045894674004863,0.0,0.0,17630,0.7046926213126549,0.5119115144639819,1
linkt007__tu_binned,0.2519409447531702,1.0,118.0,7388,0.2953073786873451,0.423389279913373,2
at01s__tu_binned,-0.1297553837334726,0.0,2.0,4726,0.1889039891278279,0.5181972069403301,1
at01s__tu_binned,-0.1069579830111189,3.0,4.0,3799,0.151850667519386,0.512503290339563,2
